,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004,2003,2004,2003,2004
,,,,,,,,,,,,
,,,,,,,,,,,,
Auto-Estrada,2076,1915,111,102,258,226,2954,2734,3323,3062,"5,3","5,3"
,,,,,,,,,,,,
Est. Nacional,12377,11061,610,459,1663,1402,15920,14329,18193,16190,"4,9","4,1"
,,,,,,,,,,,,
Dentro localidades,5915,5372,227,171,706,591,7433,6761,8366,7523,"3,8","3,2"
Fora localidades,6462,5689,383,288,957,811,8487,7568,9827,8667,"5,9","5,1"
IP/IC,2068,1738,152,138,278,265,2794,2381,3224,2784,"7,4","7,9"
,,,,,,,,,,,,
Dentro localidades,253,280,6,13,26,43,323,358,355,414,"2,4","4,6"
Fora localidades,1815,1458,146,125,252,222,2471,2023,2869,2370,"8,0","8,6"
Est. Municipal,4851,4251,179,170,660,537,5829,5208,6668,5915,"3,7","4,0"
,,,,,,,,,,,,
Dentro localidades,2046,1785,54,53,248,229,2393,2141,2695,2423,"2,6","3,0"
Fora localidades,2805,2466,125,117,412,308,3436,3067,3973,3492,"4,5","4,7"
Arruamentos,19420,19187,281,229,1720,1669,22163,22168,24164,24066,"1,4","1,2"
,,,,,,,,,,,,
Outras (1),703,778,23,37,80,91,939,999,1042,1127,"3,3","4,8"
,,,,,,,,,,,,
Dentro localidades,349,449,10,22,34,55,452,567,496,644,"2,9","4,9"
Fora localidades,354,329,13,15,46,36,487,432,546,483,"3,7","4,6"
Total da rede,41495,38930,1356,1135,4659,4190,50599,47819,56614,53144,"3,3","2,9"
,,,,,,,,,,,,
Dentro localidades,27983,27073,578,488,2734,2587,32764,31995,36076,35070,"2,1","1,8"
Fora localidades,13512,11857,778,647,1925,1603,17835,15824,20538,18074,"5,8","5,5"
