,,,"Não
infractores",Infractores,,,,Total de,Inf./Test.
,,,"0.00-0.49
g/l","0.50-0.79
g/l","0.80-1.19
g/l",">=1,20 g/l",Total,testes,%
,,Duas rodas,1445,46,54,320,420,1865,"22,5"
,00-04,Ligeiros,56591,3010,3089,4882,10981,67572,"16,3"
,,,58036,3056,3143,5202,11401,69437,"16,4"
,,Duas rodas,561,6,16,51,73,634,"11,5"
,04-08,Ligeiros,28603,1733,2166,3256,7155,35758,"20,0"
,,,29164,1739,2182,3307,7228,36392,"19,9"
,,Duas rodas,1932,4,12,48,64,1996,"3,2"
,08-12,Ligeiros,80330,158,279,631,1068,81398,"1,3"
,,,82262,162,291,679,1132,83394,"1,4"
,,Duas rodas,2539,30,34,286,1671,4210,"39,7"
,12-16,Ligeiros,82095,570,374,536,1480,83575,"1,8"
,,,84634,600,408,822,3151,87785,"3,6"
,,Duas rodas,3218,54,116,286,456,3674,"12,4"
,16-20,Ligeiros,94565,953,1011,1671,3635,98200,"3,7"
,,,97783,1007,1127,1957,4091,101874,"4,0"
,,Duas rodas,1860,53,57,307,417,2277,"18,3"
,20-24,Ligeiros,51216,1232,1341,2113,4686,55902,"8,4"
,,,53076,1285,1398,2420,5103,58179,"8,8"
,,Duas rodas,11555,193,289,1298,3101,14656,"21,2"
,Total,Ligeiros,393400,7656,8260,13089,29005,422405,"6,9"
,,,404955,7849,8549,14387,32106,437061,"7,3"
