Distrito de Braga,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN101,"79,450","79,600",5,12,1,0,9,127
EN103,"49,600","49,800",5,6,0,1,5,25
EN201,"55,700","55,900",5,11,0,1,5,25
EN201,"58,100","58,215",6,14,0,0,12,36
EN201,"63,316","63,500",6,13,0,0,9,27
EN204,"34,000","34,126",5,9,0,0,9,27
EN205,"29,150","29,350",5,12,0,0,10,30
,,,37,77,1,2,59,
,,,,,,,,
Distrito do Porto,,,,,,,,
,,,,,,,,
EN1,"292,730","292,900",6,14,0,0,13,39
EN1,"293,800","294,000",6,10,0,0,8,24
EN106-3,"2,900","3,000",5,9,0,2,3,29
EN106-3,"3,300","3,500",5,9,0,2,5,35
EN13,"4,300","4,500",7,16,0,0,11,33
EN15,"11,950","12,000",6,17,1,0,8,124
EN15,"28,500","28,600",5,9,0,2,8,44
A3 (2),"3,125","3,325",5,13,0,1,11,43
A3 (2),"16,350","16,500",11,18,0,0,11,33
A4 (1),"43,130","43,300",5,7,0,0,11,33
IC1,"302,900","303,100",6,10,0,2,13,59
IC23,"3,000","3,000",7,15,0,0,11,33
IP4,"63,200","63,400",7,10,4,5,7,471
IP4,"65,300","65,400",7,19,4,8,12,516
IP4,"66,200","66,400",7,11,2,3,11,263
IP4,"69,400","69,600",16,26,0,2,26,98
IP4,"72,600","72,800",11,18,1,0,21,163
,,,122,231,12,27,190,
Distrito de Viana do Castelo,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
,,,,,,,,
EN202,"10,700","10,900",6,17,0,2,15,65
,,,,,,,,
EN202,"11,100","11,220",6,10,0,0,9,27
,,,12,27,0,2,24,
(1) Sentido cre scente da quilometragem,,,,,,,,
(2) Sentido decrescente da quilometragem,,,,,,,,
