,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,836,813,863,924,827,843,879,1026,833,948,887,891,10570
,Acid.c/ mortos e f.graves,72,80,75,80,74,99,83,110,86,85,85,82,1011
REGIÃO,Acid.com mortos,16,27,19,18,21,26,19,35,21,21,23,23,269
NORTE,Mortos,18,31,20,22,27,28,24,41,27,22,24,26,310
,F.Graves,67,76,75,74,81,89,84,110,79,81,74,69,959
,F.Leves,1077,1011,1029,1134,1057,1106,1121,1401,1049,1208,1096,1151,13440
,Acidentes com vítimas,218,220,243,265,234,224,257,284,228,237,230,262,2902
,Acid.c/ mortos e f.graves,22,26,25,27,25,24,32,31,25,19,26,29,311
Braga,Acid.com mortos,5,6,10,6,4,7,7,9,3,1,8,7,73
,Mortos,5,8,11,6,4,8,8,12,4,1,9,9,85
,F.Graves,17,24,22,21,27,19,28,28,22,19,21,25,273
,F.Leves,281,283,276,331,282,290,325,397,302,313,291,337,3708
,Acidentes com vítimas,34,28,28,40,25,40,32,55,22,46,24,37,411
,Acid.c/ mortos e f.graves,5,7,6,6,6,7,5,10,2,5,1,5,65
Bragança,Acid.com mortos,1,3,2,1,2,1,3,4,1,3,0,0,21
,Mortos,1,3,2,1,2,1,3,4,1,3,0,0,21
,F.Graves,4,6,6,5,6,6,6,10,1,3,1,5,59
,F.Leves,43,39,33,43,37,43,42,68,30,70,33,45,526
,Acidentes com vítimas,463,456,465,471,475,458,450,476,476,514,506,470,5680
,Acid.c/ mortos e f.graves,37,34,33,36,36,53,39,39,41,49,44,35,476
Porto,Acid.com mortos,9,11,5,10,14,14,6,11,9,15,10,9,123
,Mortos,11,13,5,14,20,15,10,11,11,16,10,10,146
,F.Graves,38,38,37,36,42,45,43,41,39,48,42,32,481
,F.Leves,579,563,559,566,618,611,571,633,584,642,627,617,7170
,Acidentes com vítimas,66,67,67,89,39,69,73,119,50,89,64,68,860
,Acid.c/ mortos e f.graves,3,9,6,5,1,6,4,11,7,7,3,6,68
V.Castelo,Acid.com mortos,0,6,2,0,0,3,2,7,5,2,2,2,31
,Mortos,0,6,2,0,0,3,2,7,6,2,2,2,32
,F.Graves,3,4,5,6,1,10,5,9,2,5,1,4,55
,F.Leves,93,77,83,124,54,90,94,186,65,103,79,83,1131
,Acidentes com vítimas,55,42,60,59,54,52,67,92,57,62,63,54,717
,Acid.c/ mortos e f.graves,5,4,5,6,6,9,3,19,11,5,11,7,91
V.Real,Acid.com mortos,1,1,0,1,1,1,1,4,3,0,3,5,21
,Mortos,1,1,0,1,1,1,1,7,5,0,3,5,26
,F.Graves,5,4,5,6,5,9,2,22,15,6,9,3,91
,F.Leves,81,49,78,70,66,72,89,117,68,80,66,69,905
