,,Acidentes,Acidentes,,,
,Acidentes,,,,Feridos,Feridos
,,com mortos,com,Mortos,,
,com vítimas,,,,graves,leves
,,e/ou f. graves,mortos,,,
,,,,,,
,,,,,,
REGIÃO CENTRO,11111,1139,332,366,1046,13604
,,,,,,
Dentro Localidade,7609,650,155,161,598,8997
,,,,,,
Fora Localidade,3502,489,177,205,448,4607
Aveiro,3172,283,65,71,267,3839
,,,,,,
Dentro Localidade,2501,200,39,43,186,2989
,,,,,,
Fora Localidade,671,83,26,28,81,850
C. Branco,685,111,31,31,106,792
,,,,,,
Dentro Localidade,305,42,7,7,43,316
,,,,,,
Fora Localidade,380,69,24,24,63,476
Coimbra,2281,189,67,74,162,2790
,,,,,,
Dentro Localidade,1589,113,41,41,98,1873
,,,,,,
Fora Localidade,692,76,26,33,64,917
Guarda,613,95,34,38,85,752
,,,,,,
Dentro Localidade,268,27,8,8,30,312
,,,,,,
Fora Localidade,345,68,26,30,55,440
Leiria,2747,301,89,100,269,3318
,,,,,,
Dentro Localidade,1980,190,42,44,169,2319
,,,,,,
Fora Localidade,767,111,47,56,100,999
Viseu,1613,160,46,52,157,2113
,,,,,,
Dentro Localidade,966,78,18,18,72,1188
,,,,,,
Fora Localidade,647,82,28,34,85,925
