,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004
Dentro das localidades(2),163,134,785,678,5919,5555,6867,6367
A sair ou entrar num veículo,2,4,19,9,172,103,193,116
Atravessamento em passagem sinalizada,20,10,140,160,1530,1659,1690,1829
Atrav. passag. sinalizada c/ desrespeito,,,,,,,,
,-,3,-,17,-,112,-,132
sinal. semafórica(1),,,,,,,,
,,,,,,,,
Atrav. fora passagem peões a mais de,,,,,,,,
,13,20,80,71,665,517,758,608
50m de passag. ou qd não exista passag,,,,,,,,
,,,,,,,,
Atrav. fora passagem peões a menos de,,,,,,,,
,-,18,-,119,-,683,-,820
50m de passag.(1),,,,,,,,
,,,,,,,,
Em ilhéu ou refúgio na via(1),-,1,-,4,-,58,-,63
Em plena faixa de rodagem,22,32,120,92,887,713,1029,837
Em trabalhos na via(1),-,0,-,10,-,35,-,45
Surgindo inesperadamente faixa rodagem,70,13,276,83,1575,828,1921,924
Transitando pela berma ou passeio,18,11,66,58,448,385,532,454
Transitando pela direita faixa de rodagem,11,11,30,24,267,201,308,236
Transitando pela esquerda faixa rodagem,4,6,20,13,144,124,168,143
Fora das localidades(2),83,70,117,88,407,294,607,452
,,,,,,,,
A sair ou entrar num veículo,1,2,2,4,15,15,18,21
Atravessamento em passagem sinalizada,0,2,7,2,23,14,30,18
Atrav. passag. sinalizada c/ desrespeito,,,,,,,,
,-,0,-,0,-,0,-,0
sinal. semafórica(1),,,,,,,,
,,,,,,,,
Atrav. fora passagem peões a mais de,,,,,,,,
,2,12,10,13,28,40,40,65
50m de passag. ou qd não exista passag,,,,,,,,
,,,,,,,,
Atrav. fora passagem peões a menos de,,,,,,,,
,-,2,-,2,-,12,-,16
50m de passag.(1),,,,,,,,
,,,,,,,,
Em ilhéu ou refúgio na via(1),-,0,-,0,-,4,-,4
Em plena faixa de rodagem,11,23,14,31,64,62,89,116
Em trabalhos na via(1),-,0,-,1,-,10,-,11
Surgindo inesperadamente faixa rodagem,50,12,56,8,115,35,221,55
Transitando pela berma ou passeio,10,5,14,12,74,39,98,56
Transitando pela direita faixa de rodagem,4,5,6,7,45,23,55,35
Transitando pela esquerda faixa rodagem,4,2,5,3,24,21,33,26
Total(2),246,204,902,766,6326,5849,7474,6819
,,,,,,,,
A sair ou entrar num veículo,3,6,21,13,187,118,211,137
Atravessamento em passagem sinalizada,20,12,147,162,1553,1673,1720,1847
Atrav. passag. sinalizada c/ desrespeito,,,,,,,,
,-,3,-,17,-,112,-,132
sinal. semafórica(1),,,,,,,,
,,,,,,,,
Atrav. fora passagem peões a mais de,,,,,,,,
,15,32,90,84,693,557,798,673
50m de passag. ou qd não exista passag,,,,,,,,
,,,,,,,,
Atrav. fora passagem peões a menos de,,,,,,,,
,-,20,-,121,-,695,-,836
50m de passag.(1),,,,,,,,
,,,,,,,,
Em ilhéu ou refúgio na via(1),-,1,-,4,-,62,-,67
Em plena faixa de rodagem,33,55,134,123,951,775,1118,953
Em trabalhos na via(1),-,0,-,11,-,45,-,56
Surgindo inesperadamente faixa rodagem,120,25,332,91,1690,863,2142,979
Transitando pela berma ou passeio,28,16,80,70,522,424,630,510
Transitando pela direita faixa de rodagem,15,16,36,31,312,224,363,271
Transitando pela esquerda faixa rodagem,8,8,25,16,168,145,201,169
