,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2003,2004,2003,2004,2003,2004
Feridos leves,7046,7207,21529,19845,28630,27145
,,,,,,
<=14,27,46,265,251,292,300
15-19,380,328,1890,1661,2270,1993
20-24,1286,1171,3378,2948,4666,4127
25-29,1299,1394,3210,2868,4512,4271
30-34,1104,1089,2354,2301,3463,3399
35-39,825,874,1958,1752,2785,2631
40-44,679,712,1756,1616,2435,2331
45-49,520,530,1493,1421,2018,1957
50-54,352,417,1181,1133,1533,1554
55-59,233,268,1019,940,1253,1212
60-64,147,157,862,840,1009,999
>=65,166,188,2053,1995,2222,2189
Não def.,28,33,110,119,172,182
Total de vítimas,7433,7559,24579,22537,32071,30203
,,,,,,
<=14,31,48,305,277,336,328
15-19,403,347,2119,1879,2522,2233
20-24,1362,1232,3870,3374,5234,4614
25-29,1379,1446,3677,3255,5059,4711
30-34,1142,1141,2703,2619,3850,3773
35-39,867,909,2249,2018,3118,2932
40-44,716,747,1965,1828,2681,2578
45-49,550,560,1699,1597,2254,2163
50-54,369,435,1332,1276,1701,1715
55-59,248,286,1149,1063,1398,1353
60-64,158,168,975,937,1133,1107
>=65,177,203,2403,2270,2583,2480
Não def.,31,37,133,144,202,216
