,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004
Atravessando a via(1),-,11,-,56,-,395,-,462
Circulação sentido oposto estabelec.,17,31,27,51,144,256,188,338
Desvio brusco/ saída de fila de trânsito,35,82,104,177,760,1362,899,1621
Em marcha normal,614,412,1978,1635,21537,18611,24129,20658
Início de marcha,3,15,10,40,172,595,185,650
Inversão do sentido de marcha,5,3,14,12,145,91,164,106
Marcha atrás,1,0,2,4,36,50,39,54
Mudança de direcção para a direita,3,5,30,16,383,366,416,387
Mudança de direcção para a esquerda,53,19,123,117,1927,1895,2103,2031
Mudança de via de trânsito para a dir.,2,2,11,8,98,94,111,104
Mudança de via de trânsito para a esq.,11,7,47,13,395,247,453,267
Parado ou estacionado,9,7,28,32,707,771,744,810
Saída de parqueam. ou rua particular,9,8,27,29,284,255,320,292
Trânsito em filas paralelas,1,1,1,4,38,38,40,43
Travagem brusca,10,12,42,23,591,469,643,504
Ultrapassagem pela direita,4,3,6,8,105,114,115,125
Ultrapassagem pela esquerda,51,43,116,116,1071,1113,1238,1272
Total,836,677,2605,2381,28630,27145,32071,30203
,,,,,,,,
