,,Acidentes,,,"Feridos
graves",
,Acidentes,com mortos,Acidentes,Mortos,,Feridos leves
,com vítimas,,com mortos,,,
,,e/ou f. graves,,,,
,,,,,,
,,,,,329,
REGIÃO ALENTEJO,1776,321,58,71,,2178
,,,,,,
Dentro Localidade,582,75,1,1,81,605
Fora Localidade,1194,246,57,70,248,1573
Beja,593,111,28,31,109,773
Dentro Localidade,123,11,0,0,12,129
Fora Localidade,470,100,28,31,97,644
Évora,733,131,18,21,136,885
Dentro Localidade,295,38,0,0,41,314
Fora Localidade,438,93,18,21,95,571
Portalegre,450,79,12,19,84,520
Dentro Localidade,164,26,1,1,28,162
Fora Localidade,286,53,11,18,56,358
