,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2003,2004,2003,2004,2003,2004
Vítimas mortais,61,49,775,627,836,677
,,,,,,
<=14,0,0,4,2,4,2
15-19,0,0,30,38,30,39
20-24,8,10,129,83,137,93
25-29,15,6,106,99,121,105
30-34,8,6,83,71,91,77
35-39,7,7,79,61,86,68
40-44,4,4,57,51,61,55
45-49,6,5,56,35,62,40
50-54,3,1,48,34,51,35
55-59,3,2,29,37,32,39
60-64,2,2,42,32,44,34
>=65,5,6,105,78,110,84
Não def.,0,0,7,6,7,6
Feridos graves,326,303,2275,2065,2605,2381
,,,,,,
<=14,4,2,36,24,40,26
15-19,23,19,199,180,222,201
20-24,68,51,363,343,431,394
25-29,65,46,361,288,426,335
30-34,30,46,266,247,296,297
35-39,35,28,212,205,247,233
40-44,33,31,152,161,185,192
45-49,24,25,150,141,174,166
50-54,14,17,103,109,117,126
55-59,12,16,101,86,113,102
60-64,9,9,71,65,80,74
>=65,6,9,245,197,251,207
Não def.,3,4,16,19,23,28
