,,,,,,,Total condutores,,Total condutores,
,Vítimas mortais,,Feridos graves,,Feridos leves,,,,,
,,,,,,,vítimas,,intervenientes,
,,,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004,2003,2004
,,,,,,,,,,
Veíc. ligeiro,432,338,1339,1210,18456,17291,20227,18839,51880,48832
Veíc. pesado,28,22,52,52,519,490,599,564,3072,2910
Velocípedes,55,41,129,119,1154,1223,1338,1383,1401,1447
Ciclomotores,128,98,552,487,4793,4598,5473,5183,5935,5601
Motociclos,171,147,495,482,3555,3352,4221,3981,4646,4345
Outros,22,31,38,31,153,191,213,253,487,533
Total,836,677,2605,2381,28630,27145,32071,30203,67421,63668
