,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
,Atropelamentos,1332,58,154,1273,1485
REGIÃO,Colisão,5951,167,524,7846,8537
CENTRO,Despiste,3828,141,368,4485,4994
,Total,11111,366,1046,13604,15016
,Atropelamentos,366,10,50,352,412
Aveiro,Colisão,1979,35,142,2529,2706
,Despiste,827,26,75,958,1059
,Total,3172,71,267,3839,4177
,Atropelamentos,108,5,17,98,120
C. Branco,Colisão,289,9,46,374,429
,Despiste,288,17,43,320,380
,Total,685,31,106,792,929
,Atropelamentos,298,16,24,289,329
Coimbra,Colisão,1174,35,89,1548,1672
,Despiste,809,23,49,953,1025
,Total,2281,74,162,2790,3026
,Atropelamentos,62,2,5,58,65
Guarda,Colisão,272,17,37,392,446
,Despiste,279,19,43,302,364
,Total,613,38,85,752,875
,Atropelamentos,307,16,43,290,349
Leiria,Colisão,1452,49,139,1879,2067
,Despiste,988,35,87,1149,1271
,Total,2747,100,269,3318,3687
,Atropelamentos,191,9,15,186,210
Viseu,Colisão,785,22,71,1124,1217
,Despiste,637,21,71,803,895
,Total,1613,52,157,2113,2322
