Distrito de Lisboa,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN116,"13,900","14,100",5,8,0,0,9,27
EN117,"0,500","0,500",5,6,0,2,4,32
EN117,"0,800","1,000",7,9,1,1,5,125
EN249-4,"3,900","4,100",5,11,0,3,5,45
EN6,"6,000","6,200",7,13,0,0,14,42
EN6,"8,800","9,000",5,11,0,1,9,37
EN6,"12,700","12,900",5,9,1,0,9,127
EN6,"14,100","14,250",6,14,0,1,9,37
A1 (2),"24,800","25,000",6,8,0,0,11,33
A5 (1),"2,900","3,000",5,8,0,1,5,25
A5 (2),"4,000","4,200",8,21,0,2,12,56
A5 (1),"4,400","4,550",6,12,0,0,11,33
A5 (1),"4,700","4,900",5,12,0,0,7,21
A5 (2),"6,900","7,100",7,10,0,0,11,33
A5 (1),"7,500","7,700",6,8,1,2,5,135
IC19,"2,000","2,200",5,10,0,1,7,31
IC19,"2,800","3,000",5,12,0,0,12,36
IC19,"4,300","4,500",5,11,1,1,4,122
IC19,"5,300","5,500",7,13,0,1,9,37
IC19,"6,300","6,500",5,13,0,0,9,27
IC19,"6,700","6,900",5,11,0,0,7,21
IC19,"7,900","8,000",5,11,0,0,7,21
IC19,"8,400","8,600",15,21,0,1,22,76
IC19,"8,850","9,008",6,11,0,1,12,46
IC19,"9,800","10,000",6,9,0,0,7,21
,,,152,282,4,18,222,
Distrito de Santarém,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN118,"48,100","48,200",6,11,1,2,8,144
EN3,"36,200","36,400",5,7,0,1,19,67
EN3,"77,900","78,100",6,12,0,0,7,21
A23 (2),"2,600","2,700",6,27,0,4,6,58
,,,23,57,1,7,40,
,,,,,,,,
,,,,,,,,
Distrito de Setúbal,,,,,,,,
,,,,,,,,
EN10,"16,800","17,000",6,10,0,1,9,37
EN10,"17,300","17,500",5,10,1,1,5,125
EN5,"34,900","35,070",14,14,0,1,22,76
EN5,"50,250","50,350",5,9,0,1,12,46
IC20,"1,500","1,600",6,16,0,0,7,21
IP1,"16,900","17,000",5,6,0,1,5,25
,,,41,65,1,5,60,
,,,,,,,,
(1) Sentido crescente da quilometrag em,,,,,,,,
(2) Sentido decrescente da quilometragem,,,,,,,,
