,,Acidentes com,,Vítimas,,,,,,Total de,
,,,,,,Feridos graves,,Feridos leves,,,
,,vítimas,,mortais,,,,,,vítimas,
,,,,,,,,,,,
,,2003,2004,2003,2004,2003,2004,2003,2004,2003,2004
,,,,,,,,,,,
,Braga,3051,2902,91,85,272,273,3996,3708,4359,4066
REGIÃO,Bragança,482,411,24,21,101,59,581,526,706,606
NORTE,Porto,6302,5680,141,146,469,481,8046,7170,8656,7797
,V. Castelo,1053,860,45,32,90,55,1360,1131,1495,1218
,Vila Real,739,717,31,26,78,91,961,905,1070,1022
,,11627,10570,332,310,1010,959,14944,13440,16286,14709
,Aveiro,3316,3172,87,71,271,267,4050,3839,4408,4177
REGIÃO,C. Branco,716,685,31,31,125,106,845,792,1001,929
CENTRO,Coimbra,2270,2281,87,74,133,162,2789,2790,3009,3026
,Guarda,618,613,42,38,107,85,715,752,864,875
,Leiria,3096,2747,96,100,306,269,3822,3318,4224,3687
,Viseu,1724,1613,66,52,192,157,2186,2113,2444,2322
,,11740,11111,409,366,1134,1046,14407,13604,15950,15016
REGIÃO DE,Lisboa,7979,7605,168,126,910,821,9348,9065,10426,10012
LISBOA,Santarém,2569,2500,116,91,547,431,2865,2979,3528,3501
E VALE TEJO,Setúbal,2749,2946,92,96,299,341,3426,3759,3817,4196
,,13297,13051,376,313,1756,1593,15639,15803,17771,17709
REGIÃO DO,Beja,743,593,56,31,138,109,931,773,1125,913
ALENTEJO,Évora,818,733,46,21,147,136,931,885,1124,1042
,Portalegre,503,450,29,19,117,84,581,520,727,623
,,2064,1776,131,71,402,329,2443,2178,2976,2578
R. ALGARVE,Faro,2767,2422,108,75,357,263,3166,2794,3631,3132
TOTAL,,41495,38930,1356,1135,4659,4190,50599,47819,56614,53144
