,,,"Não
infractores",Infractores,,,,Total de,Inf./Test.
,,,"0.00-0.49
g/l","0.50-0.79
g/l","0.80-1.19
g/l",">=1,20 g/l",Total,testes,%
,,Acidentes,14481,45,75,172,292,14773,"2,0"
,"16-20
anos","Manobras
perigosas",1096,47,6,9,62,1158,"5,4"
,,Aleatórias,11803,337,247,206,790,12593,"6,3"
,,Acidentes,50814,297,414,1114,1825,52639,"3,5"
,"21-29
anos","Manobras
perigosas",7536,139,131,224,494,8030,"6,2"
,,Aleatórias,68588,2278,2308,2503,7089,75677,"9,4"
,,Acidentes,45664,295,423,1214,1932,47596,"4,1"
,"30-39
anos","Manobras
perigosas",7333,67,124,235,426,7759,"5,5"
,,Aleatórias,64693,1870,2057,3385,7312,72005,"10,2"
,,Acidentes,34063,206,309,1028,1543,35606,"4,3"
,"40-49
anos","Manobras
perigosas",5931,41,69,141,251,6182,"4,1"
,,Aleatórias,47193,1278,1435,2238,4951,52144,"9,5"
,,Acidentes,38524,224,318,679,1221,39745,"3,1"
,">=50
anos","Manobras
perigosas",5011,44,87,99,230,5241,"4,4"
,,Aleatórias,40166,924,745,1175,2844,43010,"6,6"
,,Acidentes,183546,1067,1539,4207,6813,190359,"3,6"
Total (1),,"Manobras
perigosas",26907,338,417,708,1463,28370,"5,2"
,,Aleatórias,232443,6687,6792,9507,22986,255429,"9,0"
