,J,an Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,
,Acidentes com vítimas 10,37 957,1027,1051,1096,1118,1214,1048,1063,1216,1096,1128,13051
REGIÃO DE,Acid.c/ mortos e f.graves 1,43 122,107,118,155,140,144,139,112,138,130,108,1556
LISBOA E,Acid.com mortos 2,7 20,17,22,25,17,37,29,22,26,33,20,295
VALE TEJO,Mortos 2,8 21,17,23,27,17,41,29,25,29,36,20,313
,F.Graves 1,41 123,105,118,165,154,149,152,119,131,126,110,1593
,F.Leves 12,02 1136,1248,1284,1273,1335,1516,1347,1301,1486,1289,1386,15803
,Acidentes com vítimas 6,22 546,614,605,667,651,650,546,656,697,667,684,7605
,Acid.c/ mortos e f.graves 7,6 59,55,53,77,70,68,68,57,68,79,60,790
Lisboa,Acid.com mortos 1,2 11,7,9,10,6,10,12,10,10,14,7,118
,Mortos 1,2 11,7,9,10,6,11,12,11,13,17,7,126
,F.Graves 7,8 61,50,51,86,83,73,72,59,64,81,63,821
,F.Leves 7,26 644,716,741,788,745,806,707,786,818,769,819,9065
,Acidentes com vítimas 1,81 191,183,212,221,213,244,223,191,242,200,199,2500
,Acid.c/ mortos e f.graves 3,3 36,31,40,42,36,35,37,36,43,32,27,428
Santarém,Acid.com mortos,6 7,6,7,5,5,13,8,6,8,9,8,88
,Mortos,6 8,6,7,5,5,15,8,6,8,9,8,91
,F.Graves 3,1 30,31,45,42,37,33,43,43,42,29,25,431
,F.Leves 2,03 224,233,251,259,253,307,276,229,277,222,245,2979
,Acidentes com vítimas 2,34 220,230,234,208,254,320,279,216,277,229,245,2946
,Acid.c/ mortos e f.graves 3,4 27,21,25,36,34,41,34,19,27,19,21,338
Setúbal,Acid.com mortos,9 2,4,6,10,6,14,9,6,8,10,5,89
,Mortos 1,0 2,4,7,12,6,15,9,8,8,10,5,96
,F.Graves 3,2 32,24,22,37,34,43,37,17,25,16,22,341
,F.Leves 2,73 268,299,292,226,337,403,364,286,391,298,322,3759
