,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
,Atropelamentos,2604,61,338,2420,2819
REGIÃO,Colisão,6992,135,785,9285,10205
LISBOA E,Despiste,3455,117,470,4098,4685
VALE TEJO,Total,13051,313,1593,15803,17709
,Atropelamentos,1895,30,230,1785,2045
Lisboa,Colisão,3983,56,373,5215,5644
,Despiste,1727,40,218,2065,2323
,Total,7605,126,821,9065,10012
,Atropelamentos,254,15,50,211,276
Santarém,Colisão,1274,39,225,1652,1916
,Despiste,972,37,156,1116,1309
,Total,2500,91,431,2979,3501
,Atropelamentos,455,16,58,424,498
Setúbal,Colisão,1735,40,187,2418,2645
,Despiste,756,40,96,917,1053
,Total,2946,96,341,3759,4196
