,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2003,2004,2003,2004,2003,2004
Vítimas mortais,120,105,154,149,274,254
,,,,,,
<=14,11,9,14,9,25,18
15-19,8,9,26,15,34,24
20-24,15,14,28,35,43,49
25-29,14,7,21,17,35,24
30-34,5,5,11,10,16,15
35-39,5,3,6,11,11,14
40-44,7,5,7,11,14,16
45-49,9,9,12,10,21,19
50-54,5,5,5,6,10,11
55-59,7,7,5,7,12,14
60-64,5,3,6,4,11,7
>=65,26,29,8,10,34,39
Não def.,3,0,5,4,8,4
Feridos graves,548,472,604,571,1152,1043
,,,,,,
<=14,65,57,57,62,122,119
15-19,71,60,118,105,189,165
20-24,82,40,133,121,215,161
25-29,42,41,81,63,123,104
30-34,33,34,42,62,75,96
35-39,34,29,34,36,68,65
40-44,42,32,26,28,68,60
45-49,20,29,25,20,45,49
50-54,33,29,19,16,52,45
55-59,23,30,14,6,37,36
60-64,36,22,11,8,47,30
>=65,66,59,36,34,102,93
Não def.,1,10,8,10,9,20
