,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2003,2004,2003,2004,2003,2004
<=14,32,49,327,291,360,343
15-19,605,545,3246,2782,3852,3338
20-24,2450,2264,7899,6844,10359,9124
25-29,2629,2638,7796,6869,10438,9538
30-34,2184,2186,6056,5828,8254,8044
35-39,1783,1781,5155,4751,6959,6558
40-44,1487,1471,4719,4348,6216,5842
45-49,1023,1079,4093,3867,5130,4966
50-54,734,836,3441,3276,4185,4126
55-59,445,519,2743,2715,3194,3245
60-64,289,287,2143,2092,2437,2388
>=65,320,346,4323,4204,4649,4565
Não def.,56,89,336,481,1388,1591
Total,14037,14090,52277,48348,67421,63668
,,,,,,
