,,,CONTRA-ORDENAÇÕES,,,
,,,M. Graves,Graves,Leves,Total (1)
,,Braga,1 596,12 272,66 303,80 178
REGIÃO,,Bragança,681,5 514,14 730,20 930
NORTE,,Porto,2 410,29 689,246 772,278 894
,,V. Castelo,727,4 878,23 216,28 821
,,Vila Real,683,6 851,20 663,28 197
,,,6 097,59 204,371 684,437 020
,,Aveiro,2 368,17 733,70 952,91 063
,,C. Branco,933,6 628,17 291,24 855
REGIÃO,,Coimbra,1 119,11 272,50 782,63 177
CENTRO,,Guarda,529,7 669,22 120,30 320
,,Leiria,2 359,15 676,58 534,76 580
,,Viseu,999,9 128,50 244,60 373
,,,8 307,68 106,269 923,346 368
,REGIÃO DE,Lisboa,4 140,38 721,352 596,395 500
,LISBOA,Santarém,2 157,12 498,45 855,60 517
,E VALE TEJO,Setúbal,2 262,15 443,60 717,78 434
,,,8 559,66 662,459 168,534 451
,,Beja,820,5 447,18 134,24 407
REGIÃO DO,,Évora,726,4 917,25 066,30 712
ALENTEJO,,Portalegre,688,7 417,16 464,24 569
,,,2 234,17 781,59 664,79 688
R. ALGARVE,,Faro,2 296,18 814,54 308,75 422
TOTAL,,,27 493,230 567,1 214 747,1 472 949
,,,,,,
