,,,Parque,Acid. c/,,,
,,Acidentes,,,População,,Mortos/100000
,,,circulação,vítimas/1000,,Mortos,
,,com vítimas,,,(2),,habitantes
,,,(1),veíc. circ.,,,
,,,,,,,
,Braga,2902,398885,"7,3",837850,85,"10,1"
REGIÃO,Bragança,411,76393,"5,4",146595,21,"14,3"
NORTE,Porto,5680,812096,"7,0",1786277,146,"8,2"
,V. Castelo,860,113270,"7,6",249851,32,"12,8"
,Vila Real,717,108347,"6,6",221464,26,"11,7"
,,10570,1508991,"7,0",3242037,310,"9,6"
,,,,,,,
,Aveiro,3172,395437,"8,0",716949,71,"9,9"
REGIÃO,C. Branco,685,103906,"6,6",204846,31,"15,1"
CENTRO,Coimbra,2281,234922,"9,7",437672,74,"16,9"
,Guarda,613,91902,"6,7",177381,38,"21,4"
,Leiria,2747,289404,"9,5",464713,100,"21,5"
,Viseu,1613,195124,"8,3",393135,52,"13,2"
,,11111,1310695,"8,5",2394696,366,"15,3"
REGIÃO DE,Lisboa,7605,1255201,"6,1",2172955,126,"5,8"
LISBOA,Santarém,2500,256465,"9,7",459696,91,"19,8"
E VALE,,,,,,,
,Setúbal,2946,381545,"7,7",808353,96,"11,9"
TEJO,,,,,,,
,,,,,,,
,,13051,1893211,"6,9",3441004,313,"9,1"
REGIÃO DO,Beja,593,79785,"7,4",157386,31,"19,7"
ALENTEJO,Évora,733,96424,"7,6",170921,21,"12,3"
,Portalegre,450,64164,"7,0",122985,19,"15,4"
,,1776,240373,"7,4",451292,71,"15,7"
R. ALGARVE,Faro,2422,243829,"9,9",398412,75,"18,8"
,,,,,,,
TOTAL,,38930,5197099,"7,5",9927441,1135,"11,4"
,,,,,,,
