,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004,2003,2004,2003,2004
,,,,,,,,,,,,
,,,,,,,,,,,,
Jan,3252,3072,110,95,318,361,3876,3644,4304,4100,"3,4","3,1"
,,,,,,,,,,,,
Fev,2935,2810,84,90,341,321,3400,3401,3825,3812,"2,9","3,2"
,,,,,,,,,,,,
Mar,3250,3114,104,74,349,329,3881,3687,4334,4090,"3,2","2,4"
,,,,,,,,,,,,
Abr,3267,3167,107,86,367,319,4056,3886,4530,4291,"3,3","2,7"
,,,,,,,,,,,,
Mai,3609,3203,119,91,453,384,4302,3904,4874,4379,"3,3","2,8"
,,,,,,,,,,,,
Jun,3686,3367,110,85,441,399,4633,4127,5184,4611,"3,0","2,5"
,,,,,,,,,,,,
Jul,3726,3570,122,116,405,385,4582,4423,5109,4924,"3,3","3,2"
,,,,,,,,,,,,
Ago,4159,3593,138,127,521,421,5392,4803,6051,5351,"3,3","3,5"
,,,,,,,,,,,,
Set,3557,3077,124,85,365,321,4309,3819,4798,4225,"3,5","2,8"
,,,,,,,,,,,,
Out,3611,3539,122,112,402,336,4365,4358,4889,4806,"3,4","3,2"
,,,,,,,,,,,,
Nov,3114,3182,101,93,321,329,3770,3780,4192,4202,"3,2","2,9"
,,,,,,,,,,,,
Dez,3329,3236,115,81,376,285,4033,3987,4524,4353,"3,5","2,5"
,,,,,,,,,,,,
Total,41495,38930,1356,1135,4659,4190,50599,47819,56614,53144,"3,3","2,9"
