,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2003,2004,2003,2004,2003,2004
Feridos leves,8865,8649,6765,6159,15643,14825
,,,,,,
<=14,1193,1189,1313,1207,2507,2397
15-19,939,884,1087,944,2027,1829
20-24,1093,1020,1156,991,2250,2012
25-29,881,807,715,659,1596,1467
30-34,636,584,496,457,1133,1041
35-39,496,486,369,322,865,811
40-44,531,532,331,276,863,810
45-49,520,509,250,259,770,768
50-54,543,509,254,217,798,730
55-59,431,485,167,160,598,647
60-64,441,421,137,162,580,584
>=65,1056,1131,409,425,1467,1557
Não def.,105,92,81,80,189,172
Total de vítimas,9533,9226,7523,6879,17069,16122
<=14,1269,1255,1384,1278,2654,2534
15-19,1018,953,1231,1064,2250,2018
20-24,1190,1074,1317,1147,2508,2222
25-29,937,855,817,739,1754,1595
30-34,674,623,549,529,1224,1152
35-39,535,518,409,369,944,890
40-44,580,569,364,315,945,886
45-49,549,547,287,289,836,836
50-54,581,543,278,239,860,786
55-59,461,522,186,173,647,697
60-64,482,446,154,174,638,621
>=65,1148,1219,453,469,1603,1689
Não def.,109,102,94,94,206,196
