,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004,2003,2004,2003,2004
,,,,,,,,,,,,
,,,,,,,,,,,,
PSP,12309,11671,167,131,1173,1133,14006,13353,15346,14617,"1,4","1,1"
,,,,,,,,,,,,
Janeiro,1044,996,13,12,87,111,1127,1127,1227,1250,"1,2","1,2"
,,,,,,,,,,,,
Fevereiro,932,869,11,12,101,90,1033,986,1145,1088,"1,2","1,4"
Março,1031,990,12,7,86,83,1188,1119,1286,1209,"1,2","0,7"
,,,,,,,,,,,,
Abril,1025,909,19,11,95,94,1161,1028,1275,1133,"1,9","1,2"
,,,,,,,,,,,,
Maio,1038,981,10,12,101,109,1176,1109,1287,1230,"1,0","1,2"
Junho,1067,1043,13,6,100,97,1270,1212,1383,1315,"1,2","0,6"
,,,,,,,,,,,,
Julho,1083,984,14,8,101,86,1274,1178,1389,1272,"1,3","0,8"
,,,,,,,,,,,,
Agosto,978,854,13,12,105,100,1121,1025,1239,1137,"1,3","1,4"
Setembro,1078,953,15,12,98,86,1251,1085,1364,1183,"1,4","1,3"
,,,,,,,,,,,,
Outubro,1081,1014,17,14,115,93,1200,1141,1332,1248,"1,6","1,4"
,,,,,,,,,,,,
Novembro,981,1035,14,12,86,102,1105,1126,1205,1240,"1,4","1,2"
Dezembro,971,1043,16,13,98,82,1100,1217,1214,1312,"1,6","1,2"
,,,,,,,,,,,,
GNR,29186,27259,1189,1004,3486,3057,36593,34466,41268,38527,"4,1","3,7"
,,,,,,,,,,,,
Janeiro,2208,2076,97,83,231,250,2749,2517,3077,2850,"4,4","4,0"
Fevereiro,2003,1941,73,78,240,231,2367,2415,2680,2724,"3,6","4,0"
,,,,,,,,,,,,
Março,2219,2124,92,67,263,246,2693,2568,3048,2881,"4,1","3,2"
,,,,,,,,,,,,
Abril,2242,2258,88,75,272,225,2895,2858,3255,3158,"3,9","3,3"
Maio,2571,2222,109,79,352,275,3126,2795,3587,3149,"4,2","3,6"
,,,,,,,,,,,,
Junho,2619,2324,97,79,341,302,3363,2915,3801,3296,"3,7","3,4"
,,,,,,,,,,,,
Julho,2643,2586,108,108,304,299,3308,3245,3720,3652,"4,1","4,2"
Agosto,3181,2739,125,115,416,321,4271,3778,4812,4214,"3,9","4,2"
,,,,,,,,,,,,
Setembro,2479,2124,109,73,267,235,3058,2734,3434,3042,"4,4","3,4"
,,,,,,,,,,,,
Outubro,2530,2525,105,98,287,243,3165,3217,3557,3558,"4,2","3,9"
Novembro,2133,2147,87,81,235,227,2665,2654,2987,2962,"4,1","3,8"
,,,,,,,,,,,,
Dezembro,2358,2193,99,68,278,203,2933,2770,3310,3041,"4,2","3,1"
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,41495,38930,1356,1135,4659,4190,50599,47819,56614,53144,"3,3","2,9"
,,,,,,,,,,,,
