,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004
Abertura de porta(1),-,1,-,1,-,19,-,21
Ausência de luzes quando obrigatórias,3,10,9,6,27,45,39,61
Circulação afastada berma ou passeio,1,8,5,17,65,216,71,241
Desrespeito da sinalização semafórica,12,7,44,19,465,175,521,201
Desrespeito da sinalização vertical,10,22,31,99,238,1202,279,1323
Desrespeito distâncias de segurança,1,6,4,38,174,606,179,650
Desrespeito das marcas rodoviárias,3,15,12,32,60,246,75,293
Encandeamento,0,1,4,9,111,204,115,214
Falha mecânica do veiculo(1),-,2,-,6,-,169,-,177
Manobra irregular,46,56,136,174,1548,1443,1730,1673
Não definida,369,53,1136,352,13483,6451,14988,6856
Não identificada,142,239,518,809,5544,8140,6204,9188
Não sinalização da manobra,2,2,4,16,100,169,106,187
Obstáculo imprevisto faixa de rodagem,2,7,19,43,403,655,424,705
Queda de carga ou objecto,0,2,0,1,21,25,21,28
Rebentamento de pneumático,1,2,16,7,203,190,220,199
Veloc. exc. para condições existentes,244,244,667,752,6188,7190,7099,8186
Total,836,677,2605,2381,28630,27145,32071,30203
