,,,,
,Acidentes c/ vítimas,Mortos,Feridos,Consumo de combustível(1)
,,,,
,,,,
1984,29255,1841,39365,2120967
1985,29156,1875,39560,2165768
1986,30485,1982,41100,2325469
1987,38656,2296,54517,2569369
1988,41915,2534,59532,2812843
1989,43499,2375,61519,2981310
1990,45110,2321,63329,3215413
1991,48953,2475,69535,3463690
1992,50851,2372,70986,3778462
1993,48645,2077,66710,3949834
1994,45830,1926,62163,4148309
1995,48339,2085,65827,4495096
1996,49265,2100,66627,4846257
1997,49417,1939,66516,4431649
1998,49319,1865,66603,4839598
1999,47966,1750,65327,5181874
2000,44159,1629,59924,5508692
2001,42521,1466,57044,5888196
2002,42219,1469,56585,5835821
2003,41495,1356,55258,5636686
2004,38930,1135,52009,6271690
