,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,894,759,894,845,921,993,1034,1097,880,1011,901,882,11111
,Acid.c/ mortos e f.graves,114,82,99,96,96,97,105,103,80,95,86,86,1139
REGIÃO,Acid.com mortos,34,26,24,28,23,27,35,33,17,34,24,27,332
CENTRO,Mortos,39,27,26,31,24,28,38,41,17,42,24,29,366
,F.Graves,100,76,93,90,95,88,90,105,79,81,77,72,1046
,F.Leves,1032,929,1035,1019,1139,1231,1259,1484,1120,1240,1063,1053,13604
,Acidentes com vítimas,264,206,273,246,252,301,322,263,261,273,284,227,3172
,Acid.c/ mortos e f.graves,32,15,28,21,26,30,27,18,18,21,28,19,283
Aveiro,Acid.com mortos,6,6,6,5,5,10,7,5,4,4,3,4,65
,Mortos,6,7,6,5,5,10,8,5,4,8,3,4,71
,F.Graves,30,10,27,16,26,25,26,20,16,23,32,16,267
,F.Leves,302,271,294,275,314,363,382,363,318,324,347,286,3839
,Acidentes com vítimas,57,37,60,59,48,63,66,66,56,70,45,58,685
,Acid.c/ mortos e f.graves,11,7,8,9,7,9,10,7,10,14,8,11,111
Castelo,Acid.com mortos,2,1,,2,1,3,3,2,1,8,3,5,31
Branco,Mortos,2,1,0,2,1,3,3,2,1,8,3,5,31
,F.Graves,9,7,8,13,8,8,8,7,11,13,5,9,106
,F.Leves,57,42,63,69,56,75,77,91,73,83,46,60,792
,Acidentes com vítimas,192,144,166,160,196,210,222,210,194,198,183,206,2281
,Acid.c/ mortos e f.graves,20,11,13,11,15,17,20,21,18,15,12,16,189
Coimbra,Acid.com mortos,8,4,2,4,6,6,8,8,4,6,6,5,67
,Mortos,8,4,2,5,6,6,8,13,4,7,6,5,74
,F.Graves,18,8,16,13,9,13,16,22,15,11,7,14,162
,F.Leves,214,171,210,198,246,265,258,265,247,241,228,247,2790
,Acidentes com vítimas,51,29,48,42,49,47,50,78,44,73,47,55,613
,Acid.c/ mortos e f.graves,11,5,12,6,8,5,11,9,6,12,5,5,95
Guarda,Acid.com mortos,4,2,4,4,3,1,3,3,3,4,1,2,34
,Mortos,4,2,4,4,3,1,4,5,3,5,1,2,38
,F.Graves,9,10,11,3,6,5,10,8,4,9,5,5,85
,F.Leves,65,36,49,52,52,53,63,108,58,98,50,68,752
,Acidentes com vítimas,219,210,221,226,228,219,241,291,197,250,223,222,2747
,Acid.c/ mortos e f.graves,26,27,22,40,28,26,23,30,16,19,23,21,301
Leiria,Acid.com mortos,9,9,9,11,6,4,7,11,3,6,7,7,89
,Mortos,11,9,11,13,7,5,7,12,3,6,7,9,100
,F.Graves,22,19,16,37,34,27,20,25,18,15,21,15,269
,F.Leves,249,258,265,275,279,283,301,383,227,288,248,262,3318
,Acidentes com vítimas,111,133,126,112,148,153,133,189,128,147,119,114,1613
,Acid.c/ mortos e f.graves,14,17,16,9,12,10,14,18,12,14,10,14,160
Viseu,Acid.com mortos,5,4,3,2,2,3,7,4,2,6,4,4,46
,Mortos,8,4,3,2,2,3,8,4,2,8,4,4,52
,F.Graves,12,22,15,8,12,10,10,23,15,10,7,13,157
,F.Leves,145,151,154,150,192,192,178,274,197,206,144,130,2113
