,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004
Dentro das localidades,163,134,785,678,5919,5555,6867,6367
Segunda-feira,26,19,112,95,888,863,1026,977
Terça-feira,20,15,105,101,970,830,1095,946
Quarta-feira,22,19,145,96,978,852,1145,967
Quinta-feira,28,13,114,111,897,910,1039,1034
Sexta-feira,25,23,129,104,948,942,1102,1069
Sábado,24,20,95,105,701,671,820,796
Domingo,18,25,85,66,537,487,640,578
Fora das localidades,83,70,117,88,407,294,607,452
Segunda-feira,6,10,12,19,70,27,88,56
Terça-feira,10,8,14,8,49,40,73,56
Quarta-feira,15,8,16,9,56,37,87,54
Quinta-feira,11,9,16,11,50,46,77,66
Sexta-feira,13,12,22,11,53,48,88,71
Sábado,10,4,17,16,67,33,94,53
Domingo,18,19,20,14,62,63,100,96
Total,246,204,902,766,6326,5849,7474,6819
Segunda-feira,32,29,124,114,958,890,1114,1033
Terça-feira,30,23,119,109,1019,870,1168,1002
Quarta-feira,37,27,161,105,1034,889,1232,1021
Quinta-feira,39,22,130,122,947,956,1116,1100
Sexta-feira,38,35,151,115,1001,990,1190,1140
Sábado,34,24,112,121,768,704,914,849
Domingo,36,44,105,80,599,550,740,674
