,,,Veículos de instrução,,,,,,,
,,,Motoc.,Ligeiros,Pesados,,,"Veíc..
Agrícolas",Ciclom.,Total
,,,,,C,D,E,,,
,,Braga,206,364,30,9,20,6,6,641
,REGIÃO,Bragança,44,62,15,4,10,0,2,137
,NORTE,Porto,337,644,51,9,24,1,3,1069
,,V. Castelo,68,97,11,1,9,1,1,188
,,Vila Real,62,98,19,3,10,0,1,193
,,,717,1265,126,26,73,8,13,2228
,,Aveiro,141,260,31,4,24,2,9,471
,,C. Branco,50,80,13,3,12,1,1,160
,REGIÃO,Coimbra,111,220,29,6,21,3,3,393
,CENTRO,Guarda,53,99,16,2,12,0,4,186
,,Leiria,110,172,26,5,20,3,6,342
,,Viseu,99,193,29,6,15,0,2,344
,,,564,1024,144,26,104,9,25,1896
,,Lisboa,337,928,67,13,33,3,5,1386
,REGIÃO LISBOA,Santarém,125,191,33,3,15,5,3,375
,V. TEJO,Setúbal,145,272,22,4,16,0,1,460
,,,607,1391,122,20,64,8,9,2221
,,Beja,47,62,15,4,12,3,0,143
,REGIÃO,Évora,45,70,11,1,5,5,3,140
,ALENTEJO,Portalegre,27,48,11,1,6,3,1,97
,,,119,180,37,6,23,11,4,380
,R. ALGARVE,Faro,103,165,21,4,14,0,6,313
,TOTAL,,2110,4025,450,82,278,36,57,7038
