,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004
Dentro das localidades,163,134,785,678,5919,5555,6867,6367
Dia,103,78,513,466,4445,4128,5061,4672
Noite,58,52,267,192,1439,1267,1764,1511
Aurora ou crepúsculo(1),-,4,-,19,-,114,-,137
Fora das localidades(2),83,70,117,88,407,294,607,452
Dia,24,22,63,35,264,176,351,233
Noite,59,45,54,47,143,114,256,206
Aurora ou crepúsculo(1),-,3,-,6,-,4,-,13
Total(2),246,204,902,766,6326,5849,7474,6819
Dia,127,100,576,501,4709,4304,5412,4905
Noite,117,97,321,239,1582,1381,2020,1717
Aurora ou crepúsculo(1),-,7,-,25,-,118,-,150
