,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2003,2004,2003,2004,2003,2004
Feridos leves,3175,3015,3139,2828,6326,5849
,,,,,,
<=5,132,131,232,187,366,319
6-9,189,172,282,277,472,450
10-14,274,237,289,275,563,513
15-19,214,194,181,155,395,349
20-24,163,158,165,131,328,289
25-29,183,150,163,136,346,286
30-34,149,132,194,155,344,288
35-39,134,154,151,137,285,291
40-44,165,165,165,149,330,314
45-49,187,173,162,152,350,325
50-54,202,158,156,156,358,314
55-59,178,161,137,138,315,299
60-64,190,186,162,133,352,319
>=65,797,805,675,613,1473,1418
Não def.,18,39,25,34,49,75
Total de vítimas,3661,3421,3798,3392,7474,6819
<=5,159,146,264,218,425,365
6-9,212,192,326,314,539,507
10-14,295,265,307,309,602,575
15-19,234,208,198,180,432,388
20-24,178,175,188,148,366,323
25-29,201,162,180,155,381,317
30-34,167,145,232,191,400,337
35-39,155,172,191,169,347,341
40-44,183,182,214,182,397,364
45-49,211,185,201,177,413,362
50-54,228,177,188,179,416,356
55-59,204,186,172,161,376,347
60-64,222,210,201,181,423,391
>=65,990,971,894,783,1886,1754
Não def.,22,45,42,45,71,92
