,,,"Não
infractores",Infractores,,,,"Total de
testes",,
,,,,,,,,,,Inf./Test.
,,,"0.00-0.49
g/l","0.50-0.79
g/l","0.80-1,19",">=1,20 g/l",Total,,,%
,,,,,g/l,,,,,
,,Braga,29818,698,434,624,1756,31574,,"5,6"
REGIÃO,,Bragança,13235,198,246,337,781,14016,,"5,6"
NORTE,,Porto,45987,539,451,963,1953,47940,,"4,1"
,,V. Castelo,12170,507,283,410,1200,13370,,"9,0"
,,Vila Real,10373,545,451,695,1691,12064,,"14,0"
,,,111583,2487,1865,3029,7381,118964,,"6,2"
,,Aveiro,44360,426,666,1440,2532,46892,,"5,4"
,,C. Branco,11247,227,475,591,1293,12540,,"10,3"
REGIÃO,,Coimbra,21299,181,162,580,923,22222,,"4,2"
CENTRO,,Guarda,8298,147,186,349,682,8980,,"7,6"
,,Leiria,21834,265,403,593,1261,23095,,"5,5"
,,Viseu,23136,562,604,936,2102,25238,,"8,3"
,,,130174,1808,2496,4489,8793,138967,,"6,3"
,REGIÃO DE,Lisboa,81688,1636,1681,2422,5739,87427,,"6,6"
,LISBOA E,Santarém,14690,169,275,549,993,15683,,"6,3"
,VALE TEJO,Setúbal,37011,798,858,1200,2856,39867,,"7,2"
,,,133389,2603,2814,4171,9588,142977,,"6,7"
,,Beja,14405,167,222,353,742,15147,,"4,9"
REGIÃO DO,,Évora,15370,307,276,560,1143,16513,,"6,9"
ALENTEJO,,Portalegre,14432,196,227,475,898,15330,,"5,9"
,,,44207,670,725,1388,2783,46990,,"5,9"
,"REGIÃO
ALGARVE",Faro,23600,524,,1345,2717,26317,,
,,,,,848,,,,,"10,3"
,,,,,,,,,,
,TOTAL,,442953,8092,8748,14422,31262,474215,,"6,6"
