,,Acidentes,,Mortos,"Feridos
graves",
,Acidentes c/,com mortos,Acidentes,,,Feridos
,vítimas,e/ou f.,com mortos,,,leves
,,graves,,,,
REGIÃO NORTE,10570,1011,269,310,959,13440
Dentro Localidade,8284,763,162,180,731,10219
Fora Localidade,2286,248,107,130,228,3221
Braga,2902,311,73,85,273,3708
Dentro Localidade,2438,262,55,63,236,3019
Fora Localidade,464,49,18,22,37,689
Bragança,411,65,21,21,59,526
Dentro Localidade,156,27,4,4,27,165
Fora Localidade,255,38,17,17,32,361
Porto,5680,476,123,146,481,7170
Dentro Localidade,4709,379,83,93,377,5837
Fora Localidade,971,97,40,53,104,1333
V. Castelo,860,68,31,32,55,1131
Dentro Localidade,548,33,13,13,25,697
Fora Localidade,312,35,18,19,30,434
V. Real,717,91,21,26,91,905
Dentro Localidade,433,62,7,7,66,501
Fora Localidade,284,29,14,19,25,404
