,Mortos,,,F. Graves,,,F. Leves,,,Total,,
,,,,,,,,,,,,
,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões
,,,,,,,,,,,,
REGIÃO ALENTEJO,66,39,17,265,163,45,1312,910,182,1643,1112,244
,,,,,,,,,,,,
Dentro Localidade,8,3,4,57,15,34,365,169,165,430,187,203
,,,,,,,,,,,,
Fora Localidade,58,36,13,208,148,11,947,741,17,1213,925,41
,,,,,,,,,,,,
Beja,25,18,6,92,61,13,511,371,47,628,450,66
,,,,,,,,,,,,
Dentro Localidade,2,1,1,15,5,9,99,40,41,116,46,51
,,,,,,,,,,,,
Fora Localidade,23,17,5,77,56,4,412,331,6,512,404,15
,,,,,,,,,,,,
Évora,17,5,7,93,46,15,490,302,82,600,353,104
,,,,,,,,,,,,
Dentro Localidade,4,0,2,21,4,13,157,65,75,182,69,90
,,,,,,,,,,,,
Fora Localidade,13,5,5,72,42,2,333,237,7,418,284,14
,,,,,,,,,,,,
Portalegre,24,16,4,80,56,17,311,237,53,415,309,74
,,,,,,,,,,,,
Dentro Localidade,2,2,1,21,6,12,109,64,49,132,72,62
,,,,,,,,,,,,
Fora Localidade,22,14,3,59,50,5,202,173,4,283,237,12
,,,,,,,,,,,,
