Distrito de Aveiro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN1,249.000,249.200,7,14,0,0,16,48
EN1,287.900,288.100,5,9,2,0,5,215
EN109,41.750,41.950,7,12,0,1,7,31
EN16,3.200,3.400,5,12,0,0,7,21
EN16,3.700,3.800,7,14,0,0,9,27
EN16,5.070,5.100,5,10,2,2,7,241
EN222,21.300,21.500,10,15,0,0,10,30
EN224,31.800,32.000,5,10,0,1,4,22
EN333,1.000,1.200,5,7,0,0,9,27
IC2,213.600,213.800,5,10,0,1,5,25
,,Total,61,113,4,5,79,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
