,Mortos,,,F. Graves,,,F. Leves,,,Total,,
,,,,,,,,,,,,
,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões
,,,,,,,,,,,,
REGIÃO CENTRO,271,101,64,858,402,218,8658,4373,1330,9787,4876,1612
,,,,,,,,,,,,
Dentro Localidade,137,18,40,478,148,182,5736,2445,1241,6351,2611,1463
,,,,,,,,,,,,
Fora Localidade,134,83,24,380,254,36,2922,1928,89,3436,2265,149
,,,,,,,,,,,,
Aveiro,75,16,14,257,107,65,2817,1257,406,3149,1380,485
,,,,,,,,,,,,
Dentro Localidade,49,3,11,170,57,61,2128,887,385,2347,947,457
,,,,,,,,,,,,
Fora Localidade,26,13,3,87,50,4,689,370,21,802,433,28
,,,,,,,,,,,,
C. Branco,15,7,4,66,38,23,389,283,78,470,328,105
,,,,,,,,,,,,
Dentro Localidade,3,1,1,18,8,16,144,88,68,165,97,85
,,,,,,,,,,,,
Fora Localidade,12,6,3,48,30,7,245,195,10,305,231,20
,,,,,,,,,,,,
Coimbra,64,19,13,115,55,23,1796,868,315,1975,942,351
,,,,,,,,,,,,
Dentro Localidade,33,8,9,64,17,16,1201,488,299,1298,513,324
,,,,,,,,,,,,
Fora Localidade,31,11,4,51,38,7,595,380,16,677,429,27
,,,,,,,,,,,,
Guarda,28,10,2,58,35,5,437,277,67,523,322,74
,,,,,,,,,,,,
Dentro Localidade,6,0,1,22,7,5,187,99,61,215,106,67
,,,,,,,,,,,,
Fora Localidade,22,10,1,36,28,0,250,178,6,308,216,7
,,,,,,,,,,,,
Leiria,54,21,26,279,103,74,2386,1198,342,2719,1322,442
,,,,,,,,,,,,
Dentro Localidade,31,3,15,173,44,61,1631,673,319,1835,720,395
,,,,,,,,,,,,
Fora Localidade,23,18,11,106,59,13,755,525,23,884,602,47
,,,,,,,,,,,,
Viseu,35,28,5,83,64,28,833,490,122,951,582,155
,,,,,,,,,,,,
Dentro Localidade,15,3,3,31,15,23,445,210,109,491,228,135
,,,,,,,,,,,,
Fora Localidade,20,25,2,52,49,5,388,280,13,460,354,20
,,,,,,,,,,,,
