,TIPO DE INFRACÇÃO,NÚMERO,
Infracções Muito Graves,,,
,Excesso de velocidade,23,
,Sub-total,23,
Infracções Graves,,,
,Excesso de velocidade,521,
,Transpor linha longitudinal contínua (Marca MI) delimitadora dos sentidos de trânsito,221,
,Desrespeito da obrigação de parar,162,
,Sub-total,904,
Infracções Leves,,,
,Paragem ou estacionamento proibido,6275,
,Excesso de velocidade,2186,
,Desrespeito pela sinalização,1155,
,Não utilização do cinto de segurança pelo condutor ou pelo passageiro,692,
,Sub-total,10308,
