,,,,,,,,,
,1997,1998,98/97,1999,99/98,2000,00/99,2001,01/00
,,,,,,,,,
,,,,,,,,,
Vítimas mortais,1104,1070,-34,1022,-48,916,-106,838,-78
,,,,,,,,,
Veículos ligeiros,523,489,-34,529,40,461,-68,424,-37
,,,,,,,,,
Veículos pesados,30,38,8,28,-10,29,1,24,-5
Velocípedes,54,65,11,35,-30,48,13,44,-4
Ciclomotores,310,260,-50,204,-56,181,-23,145,-36
Motociclos,156,181,25,199,18,167,-32,176,9
Outros,31,37,6,27,-10,30,3,25,-5
,,,,,,,,,
Feridos Graves,5172,4479,-693,4115,-364,3777,-338,3134,-643
,,,,,,,,,
Veículos ligeiros,2189,1880,-309,1881,1,1872,-9,1594,-278
,,,,,,,,,
Veículos pesados,122,68,-54,78,10,76,-2,69,-7
,,,,,,,,,
Velocípedes,290,252,-38,213,-39,163,-50,136,-27
,,,,,,,,,
Ciclomotores,1752,1406,-346,1116,-290,860,-256,665,-195
,,,,,,,,,
Motociclos,737,801,64,785,-16,773,-12,650,-123
,,,,,,,,,
Outros,82,72,-10,42,-30,33,-9,20,-13
,,,,,,,,,
Feridos Leves,32586,32901,315,32253,-648,29316,-2937,28650,-666
,,,,,,,,,
Veículos ligeiros,16260,16373,113,17540,1167,17066,-474,17219,153
,,,,,,,,,
Veículos pesados,584,559,-25,604,45,555,-49,519,-36
,,,,,,,,,
Velocípedes,1219,1291,72,1353,62,1060,-293,1143,83
,,,,,,,,,
Ciclomotores,10775,10405,-370,8465,-1940,6562,-1903,5727,-835
,,,,,,,,,
Motociclos,3453,3947,494,4106,159,3912,-194,3878,-34
,,,,,,,,,
Outros,295,326,31,185,-141,161,-24,164,3
,,,,,,,,,
Total vítimas,38862,38450,-412,37390,-1060,34009,-3381,32622,-1387
Veículos ligeiros,18972,18742,-230,19950,1208,19399,-551,19237,-162
Veículos pesados,736,665,-71,710,45,660,-50,612,-48
Velocípedes,1563,1608,45,1601,-7,1271,-330,1323,52
Ciclomotores,12837,12071,-766,9785,-2286,7603,-2182,6537,-1066
,,,,,,,,,
Motociclos,4346,4929,583,5090,161,4852,-238,4704,-148
,,,,,,,,,
Outros,408,435,27,254,-181,224,-30,209,-15
