,,Condutores testados,,,,,,Total
,,Não Infractores,,Infractores,,,,Condutores
,,"TAS<=0,2 g/l","TAS>0,2 e","TAS>=0,5","TAS>=0,8","TAS>=1,2 g/l",Total,intervenientes
,,,,"e <0,8 g/l","e <1,2 g/l",,,
,,,"<=0,49 g/l",,,,,
Veículos,2000,43805,804,252,362,957,1571,54365
Ligeiros,2001,42068,612,223,342,767,1332,52548
,01/00,-1737,-192,-29,-20,-190,-239,-1817
Veículos,2000,3258,47,10,8,11,29,3690
Pesados,2001,3073,30,11,11,10,32,3502
,01/00,-185,-17,1,3,-1,3,-188
,2000,765,17,1,4,21,26,1391
Velocípedes,2001,711,7,3,6,20,29,1426
,01/00,-54,-10,2,2,-1,3,35
,2000,5109,160,25,36,236,297,8337
Ciclomotores,2001,4362,121,32,45,196,273,7192
,01/00,-747,-39,7,9,-40,-24,-1145
,2000,3593,64,20,22,50,92,5419
Motociclos,2001,3566,46,23,11,48,82,5297
,01/00,-27,-18,3,-11,-2,-10,-122
Outros,2000,381,10,2,5,4,11,534
Veículos,2001,388,8,4,1,4,9,559
,01/00,7,-2,2,-4,0,-2,25
,2000,56911,1102,310,437,1279,2026,73736
Total,2001,54168,824,296,416,1045,1757,70524
,01/00,-2743,-278,-14,-21,-234,-269,-3212
