,,,,,,,,,,,,
,Acidentes c/,,,,,,,,,,,
,,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,vítimas,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,,,,
,,,,,,,,,,,,
Velocidade excessiva,12057,11906,-151,555,550,-5,2101,1903,-198,15046,14889,-157
Desresp. cedência passagem,5209,4053,-1156,84,76,-8,616,444,-172,6317,4966,-1351
Distracção,2600,2927,327,30,42,12,314,303,-11,3037,3457,420
Desresp. de stop/ sinal vermelho,2455,1849,-606,56,40,-16,330,176,-154,3181,2505,-676
Desvio brusco/saída fila trânsito,1985,1627,-358,100,89,-11,335,247,-88,2792,2170,-622
Outra ultrapassagem irregular,1541,1225,-316,68,52,-16,264,209,-55,1989,1529,-460
Obstáculo imprev. faixa rodagem,633,859,226,29,29,0,104,118,14,653,896,243
Sonolência/Adormecimento,590,645,55,33,27,-6,104,111,7,781,824,43
Desresp. distâncias segurança,626,540,-86,6,3,-3,51,34,-17,829,647,-182
Não sinaliz./má sinaliz. manobra,421,386,-35,4,10,6,47,40,-7,494,456,-38
Circ. sentido oposto estabelec.,393,311,-82,32,20,-12,106,79,-27,530,416,-114
Encadeamento,278,299,21,5,6,1,47,40,-7,321,349,28
Rebentamento de pneumático,255,281,26,14,11,-3,49,46,-3,360,434,74
Ultrap. c/ desrespeito da sinaliz.,294,245,-49,7,13,6,50,30,-20,384,318,-66
Pisar/transpôr linha long. cont.,225,158,-67,17,4,-13,55,24,-31,320,253,-67
Circ. afastada da berma/passeio,179,151,-28,4,4,0,20,17,-3,222,192,-30
Doença súbita,85,118,33,6,9,3,12,8,-4,98,124,26
Queda de carga ou objecto,56,55,-1,0,0,0,5,6,1,67,62,-5
Ausência luzes obrigatórias,67,54,-13,7,4,-3,15,9,-6,60,60,0
Não identificada,10092,14147,4055,387,455,68,1545,1886,341,11142,16049,4907
Não definida,4118,685,-3433,185,22,-163,748,67,-681,4383,651,-3732
,,,,,,,,,,,,
Total,44159,42521,-1638,1629,1466,-163,6918,5797,-1121,53006,51247,-1759
,,,,,,,,,,,,
