,,,,,,,,,
,1997,1998,98/97,1999,99/98,2000,00/99,2001,01/00
,,,,,,,,,
Vítimas mortais,1939,1865,-74,1750,-115,1629,-121,1466,-163
<=5,34,40,6,34,-6,30,-4,15,-15
6-9,18,24,6,20,-4,16,-4,11,-5
10-14,41,47,6,17,-30,20,3,23,3
15-19,174,176,2,146,-30,130,-16,119,-11
20-24,286,276,-10,266,-10,229,-37,216,-13
25-29,201,205,4,208,3,180,-28,176,-4
30-34,154,137,-17,142,5,132,-10,101,-31
35-39,153,146,-7,116,-30,112,-4,102,-10
40-44,112,111,-1,103,-8,106,3,94,-12
45-49,110,77,-33,111,34,100,-11,78,-22
50-54,101,103,2,96,-7,97,1,71,-26
55-59,101,86,-15,77,-9,63,-14,72,9
60-64,92,101,9,99,-2,99,0,69,-30
>=65,339,332,-7,300,-32,299,-1,282,-17
Não def.,23,4,-19,15,11,16,1,37,21
Feridos Graves,9335,8177,-1158,7697,-480,6918,-779,5797,-1121
,,,,,,,,,
<=5,191,194,3,179,-15,142,-37,108,-34
6-9,209,212,3,185,-27,164,-21,125,-39
10-14,299,275,-24,219,-56,198,-21,162,-36
15-19,1186,1039,-147,904,-135,780,-124,651,-129
20-24,1558,1327,-231,1214,-113,1176,-38,876,-300
25-29,1013,894,-119,919,25,816,-103,714,-102
30-34,767,672,-95,597,-75,582,-15,504,-78
35-39,616,553,-63,550,-3,476,-74,443,-33
40-44,570,446,-124,457,11,435,-22,338,-97
45-49,469,378,-91,376,-2,351,-25,326,-25
50-54,418,389,-29,371,-18,314,-57,256,-58
55-59,408,339,-69,308,-31,261,-47,207,-54
60-64,438,373,-65,356,-17,273,-83,235,-38
>=65,1096,1028,-68,986,-42,856,-130,741,-115
Não def.,97,58,-39,76,18,94,18,111,17
Feridos Leves,57181,58426,1245,57630,-796,53006,-4624,51247,-1759
,,,,,,,,,
<=5,1364,1549,185,1662,113,1479,-183,1375,-104
6-9,1267,1412,145,1389,-23,1294,-95,1243,-51
10-14,1964,2041,77,1844,-197,1663,-181,1708,45
15-19,8367,8105,-262,6592,-1513,6094,-498,5155,-939
20-24,10254,10194,-60,9936,-258,8670,-1266,8026,-644
25-29,6618,6954,336,7287,333,6536,-751,6611,75
30-34,5013,4881,-132,5123,242,4781,-342,4725,-56
35-39,4025,4207,182,4275,68,4074,-201,3954,-120
40-44,3447,3527,80,3715,188,3430,-285,3417,-13
45-49,2975,3080,105,3145,65,3020,-125,2884,-136
50-54,2477,2663,186,2661,-2,2578,-83,2468,-110
55-59,2295,2315,20,2237,-78,2081,-156,1987,-94
60-64,2098,2261,163,2154,-107,2009,-145,2043,34
>=65,4564,5015,451,5123,108,4767,-356,4917,150
Não def.,453,222,-231,487,265,530,43,734,204
