,,,Grupos etários,,,,,,,,,,,,
,,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,Total(1)
,,2000,391,3755,9397,7922,6284,5506,4825,4098,3384,2498,2013,3155,54917
,,,,,,,,,,,,,,,
Colisão,,2001,356,3222,8247,7860,6056,5381,4497,3732,3133,2362,1996,3165,51349
,Colisão,,,,,,,,,,,,,,
,,01/00,-35,-533,-1150,-62,-228,-125,-328,-366,-251,-136,-17,10,-3568
,,,,,,,,,,,,,,,
,,2000,39,994,2491,1859,1331,1182,870,677,489,352,316,573,11623
,,,,,,,,,,,,,,,
Despiste,,2001,30,940,2392,2003,1391,1142,943,684,544,385,334,653,11919
,Despiste,,,,,,,,,,,,,,
,,01/00,-9,-54,-99,144,60,-40,73,7,55,33,18,80,296
,,,,,,,,,,,,,,,
,,2000,17,420,1286,1046,850,761,622,522,435,327,253,316,7196
,,,,,,,,,,,,,,,
Atropelamento,,2001,23,398,1233,1031,927,698,637,520,442,313,247,363,7256
,Atropelamento,,,,,,,,,,,,,,
,,01/00,6,-22,-53,-15,77,-63,15,-2,7,-14,-6,47,60
,,,,,,,,,,,,,,,
,,2000,447,5169,13174,10827,8465,7449,6317,5297,4308,3177,2582,4044,73736
Total,,2001,409,4560,11872,10894,8374,7221,6077,4936,4119,3060,2577,4181,70524
,Total,,,,,,,,,,,,,,
,,01/00,-38,-609,-1302,67,-91,-228,-240,-361,-189,-117,-5,137,-3212
