,,"Acidentes
com
vítimas",,"Acidentes
com mortos
e/ou f. graves",,"Acidentes
com
mortos",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
feridos",,"Indice
de
Gravidade"
,,,%*,,%*,,%*,,%*,,%*,,%*,,%*,
1975,,33109,,__,,__,,2676,,__,,__,,40576,,"8,1"
1976,,30568,"-7,7",__,,__,,2594,"-3,1",__,,__,,36264,"-10,6","8,5"
1977,,30062,"-1,7",__,,__,,2153,"-17,0",__,,__,,35047,"-3,4","7,2"
1978,,32637,"8,6",__,,__,,2173,"0,9",__,,__,,35957,"2,6","6,7"
1979,,33331,"2,1",__,,__,,2186,"0,6",__,,__,,37837,"5,2","6,6"
1980,,33886,"1,7",__,,__,,2262,"3,5",__,,__,,41101,"8,6","6,7"
1981,,33560,"-1,0",__,,__,,2269,"0,3",__,,__,,44574,"8,4","6,8"
1982,,35324,"5,3",__,,__,,2126,"-6,3",__,,__,,47116,"5,7","6,0"
1983,,31285,"-11,4",__,,__,,2177,"2,4",__,,__,,39545,"-16,1","7,0"
1984,,29255,"-6,5",__,,__,,1841,"-15,4",__,,__,,39365,"-0,5","6,3"
1985,,29156,"-0,3",__,,__,,1875,"1,8",__,,__,,39560,"0,5","6,4"
1986,,30485,"4,6",__,,__,,1982,"5,7",__,,__,,41100,"3,9","6,5"
1987,,38656,"26,8",11470,,2059,,2296,"15,8",12364,,42153,,54517,"38,2","5,9"
1988,,41915,"8,4",11738,"2,3",2224,"8,0",2534,"10,4",12771,"3,3",46761,"10,9",59532,"9,2","6,0"
1989,,43499,"3,8",11600,"-1,2",2101,"-5,5",2375,"-6,3",12414,"-2,8",49105,"5,0",61519,"2,9","5,5"
1990,,45110,"3,7",11331,"-2,3",2078,"-1,1",2321,"-2,3",12165,"-2,0",51164,"4,2",63329,"2,7","5,1"
1991,,48953,"8,5",11602,"2,4",2225,"7,1",2475,"6,6",12548,"3,1",56987,"11,4",69535,"9,7","5,1"
1992,,50851,"3,9",11603,"0,0",2131,"-4,2",2372,"-4,2",12475,"-0,6",58511,"2,7",70986,"1,9","4,7"
1993,,48645,"-4,3",11096,"-4,4",1870,"-12,2",2077,"-12,4",11830,"-5,2",54880,"-6,2",66710,"-6,2","4,3"
1994,,45830,"-5,8",9961,"-10,2",1724,"-7,8",1926,"-7,3",10387,"-12,2",51776,"-5,7",62163,"-6,8","4,2"
1995,,48339,"5,5",10612,"6,5",1856,"7,7",2085,"8,3",11229,"8,1",54598,"5,5",65827,"6,0","4,3"
1996,,49265,"1,9",10456,"-1,5",1880,"1,3",2100,"0,7",10842,"-3,4",55785,"2,2",66627,"1,2","4,3"
1997,,49417,"0,3",9178,"-12,2",1732,"-7,9",1939,"-7,7",9335,"-13,9",57181,"2,5",66516,"-0,4","3,9"
1998,,49319,"-0,2",8176,"-10,9",1647,"-4,9",1865,"-3,8",8177,"-12,4",58426,"2,2",66603,"0,0","3,8"
1999,,47966,"-2,7",7652,"-6,4",1582,"-3,9",1750,"-6,2",7697,"-5,9",57630,"-1,4",65327,"-1,9","3,6"
2000,,44159,"-7,9",6898,"-9,9",1450,"-8,3",1629,"-6,9",6918,"-10,1",53006,"-8,0",59924,"-8,3","3,7"
2001,,42521,"-3,7",5814,"-15,7",1316,"-9,2",1466,"-10,0",5797,"-16,2",51247,"-3,3",57044,"-4,8","3,4"
