,,,,,,,,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,,,,
,,,,,,,,,,,,
PSP,14654,13396,-1258,226,195,-31,2391,1712,-679,15986,14930,-1056
,,,,,,,,,,,,
Janeiro,1143,1197,54,19,15,-4,187,204,17,1210,1248,38
,,,,,,,,,,,,
Fevereiro,1202,1006,-196,21,16,-5,202,169,-33,1291,1087,-204
,,,,,,,,,,,,
Março,1289,1061,-228,27,13,-14,206,161,-45,1371,1179,-192
,,,,,,,,,,,,
Abril,980,1017,37,15,17,2,182,154,-28,1091,1114,23
,,,,,,,,,,,,
Maio,1297,1129,-168,19,15,-4,217,160,-57,1387,1214,-173
,,,,,,,,,,,,
Junho,1282,1180,-102,16,16,0,217,136,-81,1407,1350,-57
,,,,,,,,,,,,
Julho,1277,1213,-64,24,21,-3,194,136,-58,1428,1399,-29
,,,,,,,,,,,,
Agosto,1096,1064,-32,10,16,6,199,124,-75,1254,1244,-10
,,,,,,,,,,,,
Setembro,1271,1124,-147,16,12,-4,192,116,-76,1373,1280,-93
,,,,,,,,,,,,
Outubro,1412,1084,-328,22,19,-3,234,104,-130,1523,1224,-299
,,,,,,,,,,,,
Novembro,1218,1166,-52,19,20,1,180,125,-55,1341,1286,-55
,,,,,,,,,,,,
Dezembro,1187,1155,-32,18,15,-3,181,123,-58,1310,1305,-5
,,,,,,,,,,,,
GNR,29505,29125,-380,1403,1271,-132,4527,4085,-442,37020,36317,-703
,,,,,,,,,,,,
Janeiro,2230,2160,-70,98,95,-3,302,325,23,2679,2626,-53
,,,,,,,,,,,,
Fevereiro,2193,2165,-28,113,99,-14,334,365,31,2648,2654,6
,,,,,,,,,,,,
Março,2143,2138,-5,119,125,6,328,348,20,2692,2595,-97
,,,,,,,,,,,,
Abril,2154,2245,91,91,80,-11,359,328,-31,2827,2728,-99
,,,,,,,,,,,,
Maio,2294,2333,39,104,77,-27,382,316,-66,2851,2933,82
,,,,,,,,,,,,
Junho,2713,2583,-130,120,107,-13,402,403,1,3421,3091,-330
,,,,,,,,,,,,
Julho,3153,2830,-323,157,116,-41,478,393,-85,4062,3606,-456
,,,,,,,,,,,,
Agosto,2993,2851,-142,156,116,-40,499,393,-106,4003,3775,-228
,,,,,,,,,,,,
Setembro,2632,2441,-191,152,95,-57,409,309,-100,3284,3083,-201
,,,,,,,,,,,,
Outubro,2502,2413,-89,112,103,-9,331,287,-44,3058,3073,15
,,,,,,,,,,,,
Novembro,2243,2467,224,101,132,31,331,304,-27,2745,3014,269
,,,,,,,,,,,,
Dezembro,2255,2499,244,80,126,46,372,314,-58,2750,3139,389
,,,,,,,,,,,,
Total,44159,42521,-1638,1629,1466,-163,6918,5797,-1121,53006,51247,-1759
,,,,,,,,,,,,
