,Acidentes com,Acidentes,Acidentes,,,
,vítimas,com mortos,com mortos,Mortos,Feridos,Feridos leves
,,e/ou f. graves,,,graves,
,,,,,,
REGIÃO ALENTEJO,2041,458,111,122,473,2404
,,,,,,
Dentro Localidade,677,111,15,15,106,699
Fora Localidade,1364,347,96,107,367,1705
Beja,757,159,43,49,166,929
Dentro Localidade,182,30,4,4,29,180
Fora Localidade,575,129,39,45,137,749
Évora,764,154,29,29,154,874
Dentro Localidade,292,42,6,6,38,297
Fora Localidade,472,112,23,23,116,577
Portalegre,520,145,39,44,153,601
Dentro Localidade,203,39,5,5,39,222
Fora Localidade,317,106,34,39,114,379
