,,,,,,,,,
,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,
,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,
Capacete,30,33,3,245,200,-45,1842,1558,-284
,,,,,,,,,
Cinto de segurança,234,201,-33,1118,1032,-86,12016,11294,-722
,,,,,,,,,
Cadeira criança frente,2,0,-2,2,2,0,52,65,13
,,,,,,,,,
Cadeira criança trás,3,4,1,24,12,-12,398,345,-53
,,,,,,,,,
Sem cadeira criança,7,4,-3,19,16,-3,246,213,-33
,,,,,,,,,
Sem uso cinto/capacete,96,88,-8,354,277,-77,2553,2148,-405
,,,,,,,,,
Não definido,4,2,-2,14,26,12,109,385,276
,,,,,,,,,
Total,376,332,-44,1776,1565,-211,17216,16008,-1208
