,,,,,,,,,,,,
,Acidentes c/,,,,,,,,,,,
,,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,vítimas,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Dia,30326,29770,-556,854,811,-43,4269,3536,-733,36301,35595,-706
,,,,,,,,,,,,
Bom tempo,25042,24599,-443,724,682,-42,3586,2869,-717,29459,28988,-471
,,,,,,,,,,,,
Chuva,5074,4937,-137,118,120,2,641,629,-12,6588,6297,-291
,,,,,,,,,,,,
Outros (1),210,234,24,12,9,-3,42,38,-4,254,310,56
,,,,,,,,,,,,
Noite,13816,12651,-1165,775,652,-123,2644,2252,-392,16691,15556,-1135
,,,,,,,,,,,,
Bom tempo,10311,9810,-501,608,521,-87,2045,1750,-295,12270,11994,-276
,,,,,,,,,,,,
Chuva,3318,2638,-680,151,121,-30,549,454,-95,4181,3306,-875
,,,,,,,,,,,,
Outros (1),187,203,16,16,10,-6,50,48,-2,240,256,16
,,,,,,,,,,,,
Não definido,17,100,83,0,3,3,5,9,4,14,96,82
,,,,,,,,,,,,
Bom tempo,5,9,4,0,0,0,2,1,-1,3,9,6
,,,,,,,,,,,,
Chuva,1,4,3,0,0,0,0,0,0,2,4,2
,,,,,,,,,,,,
Outros (1),11,87,76,0,3,3,3,8,5,9,83,74
,,,,,,,,,,,,
Total dia e noite,44142,42421,-1721,1629,1463,-166,6913,5788,-1125,52992,51151,-1841
,,,,,,,,,,,,
Bom tempo,35358,34418,-940,1332,1203,-129,5633,4620,-1013,41729,40982,-747
,,,,,,,,,,,,
Chuva,8393,7579,-814,269,241,-28,1190,1083,-107,10769,9603,-1166
,,,,,,,,,,,,
Outros (1),408,524,116,28,22,-6,95,94,-1,494,566,72
