,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,152,140,153,162,155,169,196,191,177,160,187,199,2041
,Acid.c/ mortos e f.graves,34,41,31,42,30,35,44,33,36,37,38,57,458
REGIÃO,Acid.com mortos,8,10,12,10,7,4,7,9,6,8,10,20,111
ALENTEJO,Mortos,8,11,18,10,7,4,8,10,6,8,12,20,122
,F.Graves,30,46,35,50,30,38,44,36,38,36,40,50,473
,F.Leves,172,154,189,194,184,198,244,267,212,163,219,208,2404
,Acidentes com vítimas,40,48,56,63,59,66,71,92,65,67,63,67,757
,Acid.c/ mortos e f.graves,9,15,9,16,8,15,17,14,10,12,14,20,159
Beja,Acid.com mortos,3,4,6,5,3,1,2,5,2,2,3,7,43
,Mortos,3,4,10,5,3,1,2,6,2,2,4,7,49
,F.Graves,6,14,8,22,8,17,15,15,11,13,16,21,166
,F.Leves,46,54,66,84,73,78,90,131,78,79,77,73,929
,Acidentes com vítimas,62,54,52,66,57,66,72,60,60,52,85,78,764
,Acid.c/ mortos e f.graves,13,13,12,17,14,10,17,9,8,11,14,16,154
Évora,Acid.com mortos,3,2,3,2,2,,2,2,2,3,2,6,29
,Mortos,3,2,3,2,2,0,2,2,2,3,2,6,29
,F.Graves,12,12,12,17,14,12,21,11,8,8,16,11,154
,F.Leves,72,62,61,76,60,83,76,78,74,51,98,83,874
,Acidentes com vítimas,50,38,45,33,39,37,53,39,52,41,39,54,520
,Acid.c/ mortos e f.graves,12,13,10,9,8,10,10,10,18,14,10,21,145
Portalegre,Acid.com mortos,2,4,3,3,2,3,3,2,2,3,5,7,39
,Mortos,2,5,5,3,2,3,4,2,2,3,6,7,44
,F.Graves,12,20,15,11,8,9,8,10,19,15,8,18,153
,F.Leves,54,38,62,34,51,37,78,58,60,33,44,52,601
