,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,919,876,898,872,937,1037,1178,1099,975,950,1001,1050,11792
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,97,86,84,76,92,102,101,146,103,83,95,111,1176
,,,,,,,,,,,,,,
REGIÃO,Acid.com mortos,26,22,22,17,27,27,30,45,34,29,35,37,351
,,,,,,,,,,,,,,
NORTE,Mortos,34,23,25,18,29,31,31,48,36,31,39,39,384
,,,,,,,,,,,,,,
,F.Graves,107,76,81,74,81,87,88,125,89,70,74,99,1051
,,,,,,,,,,,,,,
,F.Leves,1148,1167,1177,1119,1186,1294,1568,1493,1245,1302,1236,1391,15326
,,,,,,,,,,,,,,
,Acidentes com vítimas,268,214,232,232,236,249,284,309,236,268,249,255,3032
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,21,22,30,18,35,33,26,45,29,20,18,28,325
,,,,,,,,,,,,,,
Braga,Acid.com mortos,8,4,5,4,7,5,10,10,10,5,8,10,86
,,,,,,,,,,,,,,
,Mortos,10,4,6,4,7,5,11,11,11,5,11,10,95
,,,,,,,,,,,,,,
,F.Graves,20,21,30,17,36,30,19,43,24,16,13,21,290
,,,,,,,,,,,,,,
,F.Leves,350,316,279,300,287,298,379,438,297,364,331,332,3971
,,,,,,,,,,,,,,
,Acidentes com vítimas,37,27,30,37,34,31,46,67,28,42,37,48,464
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,9,8,6,9,7,6,5,17,9,8,6,9,99
,,,,,,,,,,,,,,
Bragança,Acid.com mortos,2,2,2,2,2,3,1,6,3,2,2,4,31
,,,,,,,,,,,,,,
,Mortos,5,2,2,2,2,3,1,7,4,2,2,5,37
,,,,,,,,,,,,,,
,F.Graves,20,6,7,8,5,3,5,11,8,9,5,9,96
,,,,,,,,,,,,,,
,F.Leves,42,28,43,35,36,40,57,91,32,45,48,61,558
,,,,,,,,,,,,,,
,Acidentes com vítimas,491,529,508,480,551,607,642,548,574,530,588,606,6654
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,46,48,34,35,37,50,49,59,44,48,49,57,556
,,,,,,,,,,,,,,
Porto,Acid.com mortos,12,14,11,6,12,16,15,19,11,19,17,16,168
,,,,,,,,,,,,,,
,Mortos,14,15,13,7,13,19,15,20,11,21,18,16,182
,,,,,,,,,,,,,,
,F.Graves,45,43,27,37,30,44,42,52,40,41,40,51,492
,,,,,,,,,,,,,,
,F.Leves,604,683,681,621,710,766,843,713,738,739,712,801,8611
,,,,,,,,,,,,,,
,Acidentes com vítimas,83,66,73,70,65,92,122,105,76,61,82,84,979
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,14,3,5,9,6,3,11,10,6,2,10,9,88
,,,,,,,,,,,,,,
V.Castelo,Acid.com mortos,4,2,2,3,3,1,2,5,4,1,6,3,36
,,,,,,,,,,,,,,
,Mortos,5,2,2,3,3,2,2,5,4,1,6,3,38
,,,,,,,,,,,,,,
,F.Graves,13,1,7,7,5,2,9,6,3,1,4,11,69
,,,,,,,,,,,,,,
,F.Leves,94,91,92,91,91,111,170,146,114,81,100,110,1291
,,,,,,,,,,,,,,
,Acidentes com vítimas,40,40,55,53,51,58,84,70,61,49,45,57,663
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,7,5,9,5,7,10,10,15,15,5,12,8,108
,,,,,,,,,,,,,,
V.Real,Acid.com mortos,0,,2,2,3,2,2,5,6,2,2,4,30
,,,,,,,,,,,,,,
,Mortos,0,0,2,2,4,2,2,5,6,2,2,5,32
,,,,,,,,,,,,,,
,F.Graves,9,5,10,5,5,8,13,13,14,3,12,7,104
,,,,,,,,,,,,,,
,F.Leves,58,49,82,72,62,79,119,105,64,73,45,87,895
,,,,,,,,,,,,,,
