Distrito de Lisboa,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN10,125.600,125.800,6,12,0,0,11,33
EN10,126.900,127.100,5,11,0,0,7,21
EN10,127.500,127.700,6,11,0,0,8,24
EN10,128.200,128.400,7,10,0,0,7,21
EN10,128.900,129.100,7,10,0,2,5,35
EN10,132.900,133.000,6,13,1,1,4,122
EN10,133.250,133.350,5,9,0,1,4,22
EN10,134.200,134.400,5,9,0,1,5,25
EN117,1.000,1.200,12,21,0,3,25,105
EN117,13.300,13.470,5,7,2,0,6,218
EN247-5,11.000,11.200,5,6,1,3,2,136
EN249-4,5.300,5.500,5,8,0,1,7,31
EN249-4,6.900,7.100,7,12,0,1,7,31
EN249-4,7.200,7.400,6,10,0,0,9,27
EN6,5.500,5.700,6,10,0,1,10,40
EN6,7.800,8.000,5,8,1,2,6,138
EN6,10.800,11.000,6,8,0,2,4,32
EN6,14.100,14.300,5,8,1,1,5,125
EN8-2,5.800,6.000,7,14,0,0,9,27
EN8-2,17.200,17.400,5,7,0,2,5,35
EN9,8.700,8.900,6,12,0,0,7,21
EN9,64.200,64.400,5,10,1,0,6,118
EN9,65.500,65.700,6,12,0,1,6,28
EN9-1,11.900,12.100,5,9,0,0,7,21
A1 (2),2.300,2.500,5,10,0,2,5,35
A1 (1),10.500,10.700,5,10,0,4,4,52
A5 (1),3.800,4.000,5,13,0,0,8,24
A5 (2),4.000,4.200,7,16,3,2,8,344
A5 (1),4.200,4.400,5,10,0,0,8,24
A5 (1),5.000,5.200,8,12,0,0,10,30
A5 (1),7.300,7.500,9,16,0,1,10,40
IC16,0.900,1.100,5,5,0,1,7,31
IC19,2.000,2.100,6,11,0,1,8,34
IC19,3.000,3.200,7,13,0,2,5,35
IC19,3.800,4.000,11,21,0,1,13,49
IC19,4.300,4.500,6,14,0,2,6,38
IC19,5.000,5.200,11,20,0,0,12,36
IC19,5.600,5.800,5,12,0,2,7,41
IC19,6.000,6.200,6,13,0,0,7,21
IC19,7.000,7.200,8,18,0,0,9,27
IC19,7.800,8.000,11,17,0,0,18,54
IC19,8.400,8.600,8,13,2,0,13,239
IC19,10.000,10.200,8,17,0,1,8,34
IC19,13.000,13.100,5,9,0,0,9,27
IC2,32.500,32.700,5,10,0,0,9,27
IC2,56.952,57.100,6,11,0,0,9,27
IC22,0.900,1.100,5,5,0,3,3,39
,,Total,300,543,12,44,368,
(1) Sentido crescente da quilometragem,,,,,,,,
(2) Sentido decrescente da quilometragem,,,,,,,,
