,,,Feridos graves,,,,,,,,,,,,
,,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,"Total
(1)"
,Veículos,2000,3,101,398,304,207,186,155,130,111,74,65,99,1872
,Ligeiros,2001,1,87,318,269,190,166,129,102,83,69,57,94,1594
,,01/00,-2,-14,-80,-35,-17,-20,-26,-28,-28,-5,-8,-5,-278
,Veículos,2000,0,1,9,12,14,9,14,3,7,3,3,0,76
,Pesados,2001,0,0,4,10,9,11,9,8,7,3,6,2,69
,,01/00,0,-1,-5,-2,-5,2,-5,5,0,0,3,2,-7
,,2000,43,22,7,8,7,9,7,4,5,9,9,29,163
,Velocípedes,2001,35,16,6,7,5,5,6,6,3,3,7,28,136
,,01/00,-8,-6,-1,-1,-2,-4,-1,2,-2,-6,-2,-1,-27
,,2000,4,178,131,75,71,61,61,45,31,29,44,113,860
,Ciclomotores,2001,4,103,91,59,61,51,44,47,29,27,38,95,665
,,01/00,0,-75,-40,-16,-10,-10,-17,2,-2,-2,-6,-18,-195
,,2000,5,130,252,150,81,48,39,12,10,10,3,15,773
,Motociclos,2001,0,129,166,141,78,48,24,26,9,4,6,5,650
,,01/00,-5,-1,-86,-9,-3,0,-15,14,-1,-6,3,-10,-123
,,2000,55,435,798,549,383,314,278,196,165,128,127,270,3777
Total (2),,2001,40,335,585,488,344,282,213,191,132,107,116,233,3134
,,01/00,-15,-100,-213,-61,-39,-32,-65,-5,-33,-21,-11,-37,-643
