,,,,,,,,,,,,
,Acidentes c/,,,,,,,,,,,
,,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,vítimas,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
00-03,2782,2478,-304,181,141,-40,613,471,-142,3454,3105,-349
,,,,,,,,,,,,
03-06,1739,1547,-192,136,107,-29,369,333,-36,2166,1891,-275
,,,,,,,,,,,,
06-09,4615,4605,-10,206,195,-11,718,655,-63,5599,5480,-119
,,,,,,,,,,,,
09-12,5755,5840,85,138,151,13,781,612,-169,6740,6849,109
,,,,,,,,,,,,
12-15,7499,7274,-225,178,186,8,986,847,-139,8748,8587,-161
,,,,,,,,,,,,
15-18,8324,7948,-376,244,203,-41,1224,954,-270,10161,9706,-455
,,,,,,,,,,,,
18-21,8795,8411,-384,322,298,-24,1380,1148,-232,10400,10037,-363
,,,,,,,,,,,,
21-24,4650,4418,-232,224,185,-39,847,777,-70,5738,5592,-146
,,,,,,,,,,,,
Total,44159,42521,-1638,1629,1466,-163,6918,5797,-1121,53006,51247,-1759
,,,,,,,,,,,,
