,,,Escolas,Instrutores,,
,,,,Em escolas,Independentes,Total
,,Braga,89,442,,531
,REGIÃO,Bragança,19,82,,101
,NORTE,Porto,155,893,3,1051
,,V. Castelo,37,164,,201
,,Vila Real,30,115,,145
,,,330,1696,3,1699
,,Aveiro,47,351,,398
,,C .Branco,22,133,,155
,REGIÃO,Coimbra,39,272,,311
,CENTRO,Guarda,28,124,,152
,,Leiria,43,268,,311
,,Viseu,49,243,,292
,,,228,1391,,1391
,,Lisboa,133,978,,1111
,REGIÃO LISBOA,Santarém,46,194,,240
,V. TEJO,Setúbal,49,353,,402
,,,228,1525,,1525
,,Beja,22,88,,110
,REGIÃO,Évora,23,119,,142
,ALENTEJO,Portalegre,16,47,,63
,,,61,254,,254
,R. ALGARVE,Faro,48,161,,209
,TOTAL,,895,5027,3,5030
