,,,,,,,,,
,Feminino,,,Masculino,,,Total (1),,
,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
Vítimas mortais,132,151,19,244,180,-64,376,332,-44
,,,,,,,,,
<=5,11,5,-6,8,4,-4,19,9,-10
6-9,2,2,0,4,6,2,6,8,2
10-14,4,3,-1,9,8,-1,13,11,-2
15-19,10,17,7,53,34,-19,63,51,-12
20-24,8,24,16,49,42,-7,57,67,10
25-29,6,6,0,24,29,5,30,35,5
30-34,5,7,2,19,11,-8,24,18,-6
35-39,10,4,-6,10,13,3,20,17,-3
40-44,4,6,2,16,7,-9,20,13,-7
45-49,8,7,-1,12,3,-9,20,10,-10
50-54,11,10,-1,9,2,-7,20,12,-8
55-59,7,9,2,5,6,1,12,15,3
60-64,11,12,1,2,4,2,13,16,3
>=65,35,37,2,24,8,-16,59,45,-14
Não def.,0,2,2,0,3,3,0,5,5
Feridos Graves,847,704,-143,928,861,-67,1776,1565,-211
,,,,,,,,,
<=5,24,26,2,45,32,-13,69,58,-11
6-9,23,19,-4,39,22,-17,62,41,-21
10-14,44,32,-12,33,38,5,77,70,-7
15-19,91,106,15,189,167,-22,280,273,-7
20-24,108,78,-30,197,168,-29,305,246,-59
25-29,107,76,-31,100,104,4,207,180,-27
30-34,57,38,-19,84,63,-21,141,101,-40
35-39,52,44,-8,40,56,16,92,100,8
40-44,53,34,-19,43,40,-3,96,74,-22
45-49,45,41,-4,37,32,-5,82,73,-9
50-54,54,40,-14,32,30,-2,86,70,-16
55-59,37,30,-7,17,14,-3,54,44,-10
60-64,40,38,-2,16,22,6,56,60,4
>=65,112,94,-18,53,57,4,165,151,-14
Não def.,0,8,8,3,16,13,4,24,20
Feridos Leves,9657,8811,-846,7552,7190,-362,17216,16008,-1208
,,,,,,,,,
<=5,546,474,-72,581,529,-52,1128,1004,-124
6-9,336,329,-7,376,346,-30,712,675,-37
10-14,472,487,15,407,433,26,879,920,41
15-19,1207,948,-259,1456,1250,-206,2664,2199,-465
20-24,1267,1189,-78,1320,1190,-130,2587,2379,-208
25-29,985,880,-105,845,820,-25,1830,1701,-129
30-34,645,621,-24,550,519,-31,1196,1140,-56
35-39,622,519,-103,393,393,0,1015,912,-103
40-44,546,480,-66,327,335,8,873,815,-58
45-49,572,482,-90,260,272,12,833,754,-79
50-54,572,510,-62,234,203,-31,806,713,-93
55-59,469,402,-67,176,153,-23,645,555,-90
60-64,435,428,-7,180,163,-17,616,591,-25
>=65,949,944,-5,416,479,63,1366,1424,58
Não def.,34,118,84,31,105,74,66,226,160
