Vias,"Acidentes c/
vítimas","Vítimas mortais
(M)","Feridos graves
(FG)","Feridos leves
(FL)","Indicador gravidade
100xM+10xFG+3xFL"
A1,670,33,116,947,7301
IC1,398,43,72,529,6607
EN1,544,28,124,644,5972
EN125,542,28,80,659,5577
A2,308,23,69,424,4262
EN109,397,23,59,451,4243
EN10,353,16,76,413,3599
EN2,342,15,78,435,3585
IP3,104,25,61,133,3509
EN118,235,20,62,284,3472
IC2,297,15,62,373,3239
EN13,306,15,34,403,3049
IP2,132,18,63,199,3027
IP4,100,20,38,196,2968
EN3,236,15,58,276,2908
EN101,285,12,37,394,2752
IP5,129,17,19,181,2433
A5,201,14,17,251,2323
EN103,207,11,30,299,2297
EN8,226,11,19,318,2244
EN15,232,10,29,307,2211
EN206,215,9,15,335,2055
EN205,154,12,15,213,1989
EN16,177,11,19,227,1971
A3,133,11,12,192,1796
EN17,156,9,17,223,1739
EN4,140,7,43,201,1733
EN18,149,7,33,188,1594
EN114,183,5,43,216,1578
IP1,130,6,24,198,1434
EN247,153,5,31,184,1362
EN333,75,8,13,121,1293
