,Mortos,,,F. Graves,,,F. Leves,,,Total,,
,,,,,,,,,,,,
,Cond.,Passag.,Peões,Cond.,Passag.,Peões,Cond.,Passag.,Peões,Cond.,Passag.,Peões
,,,,,,,,,,,,
REGIÃO NORTE,207,73,104,541,256,254,8222,4962,2142,8970,5291,2500
,,,,,,,,,,,,
Dentro Localidade,109,40,78,372,145,226,6136,3382,1975,6617,3567,2279
,,,,,,,,,,,,
Fora Localidade,98,33,26,169,111,28,2086,1580,167,2353,1724,221
,,,,,,,,,,,,
Braga,52,16,27,150,60,80,2212,1213,546,2414,1289,653
,,,,,,,,,,,,
Dentro Localidade,34,11,24,108,41,74,1710,900,480,1852,952,578
,,,,,,,,,,,,
Fora Localidade,18,5,3,42,19,6,502,313,66,562,337,75
,,,,,,,,,,,,
Bragança,21,11,5,46,37,13,288,220,50,355,268,68
,,,,,,,,,,,,
Dentro Localidade,1,2,4,33,10,13,131,76,43,165,88,60
,,,,,,,,,,,,
Fora Localidade,20,9,1,13,27,0,157,144,7,190,180,8
,,,,,,,,,,,,
Porto,89,35,58,255,109,128,4515,2751,1345,4859,2895,1531
,,,,,,,,,,,,
Dentro Localidade,59,24,43,188,68,112,3676,2050,1281,3923,2142,1436
,,,,,,,,,,,,
Fora Localidade,30,11,15,67,41,16,839,701,64,936,753,95
,,,,,,,,,,,,
V. Castelo,24,5,9,34,23,12,763,420,108,821,448,129
,,,,,,,,,,,,
Dentro Localidade,11,3,4,12,11,8,408,208,85,431,222,97
,,,,,,,,,,,,
Fora Localidade,13,2,5,22,12,4,355,212,23,390,226,32
,,,,,,,,,,,,
V. Real,21,6,5,56,27,21,444,358,93,521,391,119
,,,,,,,,,,,,
Dentro Localidade,4,0,3,31,15,19,211,148,86,246,163,108
,,,,,,,,,,,,
Fora Localidade,17,6,2,25,12,2,233,210,7,275,228,11
,,,,,,,,,,,,
