,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,1164,1084,1093,1073,1196,1279,1272,1117,1142,1078,1216,1135,13849
,,,,,,,,,,,,,,
REGIÃO DE,Acid.c/ mortos e f.graves,243,225,215,197,194,238,195,169,160,127,173,156,2292
,,,,,,,,,,,,,,
LISBOA E,Acid.com mortos,33,33,29,35,29,37,33,30,25,20,41,27,372
,,,,,,,,,,,,,,
VALE TEJO,Mortos,34,36,35,40,30,46,39,33,27,25,45,28,418
,,,,,,,,,,,,,,
,F.Graves,255,233,235,191,218,257,207,172,169,138,186,174,2435
,,,,,,,,,,,,,,
,F.Leves,1226,1160,1175,1199,1320,1459,1483,1328,1325,1229,1400,1316,15620
,,,,,,,,,,,,,,
,Acidentes com vítimas,747,678,657,613,734,733,750,611,667,650,729,671,8240
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,141,120,113,91,95,106,95,72,77,61,80,73,1124
,,,,,,,,,,,,,,
Lisboa,Acid.com mortos,17,11,9,16,18,16,13,12,10,11,19,12,164
,,,,,,,,,,,,,,
,Mortos,18,14,13,20,18,20,15,13,10,11,20,12,184
,,,,,,,,,,,,,,
,F.Graves,146,129,124,83,104,97,101,66,81,61,86,79,1157
,,,,,,,,,,,,,,
,F.Leves,802,741,724,705,814,841,899,709,779,741,856,772,9383
,,,,,,,,,,,,,,
,Acidentes com vítimas,180,188,198,210,203,237,223,222,202,199,236,226,2524
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,55,57,61,56,57,74,50,58,44,45,66,51,674
,,,,,,,,,,,,,,
Santarém,Acid.com mortos,8,11,11,7,6,9,9,8,4,5,14,9,101
,,,,,,,,,,,,,,
,Mortos,8,11,12,8,7,13,9,9,4,6,15,10,112
,,,,,,,,,,,,,,
,F.Graves,61,55,66,60,66,92,54,63,46,55,69,56,743
,,,,,,,,,,,,,,
,F.Leves,169,184,200,209,223,242,242,258,224,217,232,251,2651
,,,,,,,,,,,,,,
,Acidentes com vítimas,237,218,238,250,259,309,299,284,273,229,251,238,3085
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,47,48,41,50,42,58,50,39,39,21,27,32,494
,,,,,,,,,,,,,,
Setúbal,Acid.com mortos,8,11,9,12,5,12,11,10,11,4,8,6,107
,,,,,,,,,,,,,,
,Mortos,8,11,10,12,5,13,15,11,13,8,10,6,122
,,,,,,,,,,,,,,
,F.Graves,48,49,45,48,48,68,52,43,42,22,31,39,535
,,,,,,,,,,,,,,
,F.Leves,255,235,251,285,283,376,342,361,322,271,312,293,3586
,,,,,,,,,,,,,,
