,Feridos graves,,,,,,,,
,Condutores,,,Passageiros,,,Peões,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,
Auto-Estrada,177,151,-26,178,134,-44,10,8,-2
,,,,,,,,,
EstradaNacional/IP/IC,1616,1412,-204,828,815,-13,269,240,-29
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,569,469,-100,192,206,14,177,146,-31
,,,,,,,,,
Fora Localidade,1047,943,-104,636,609,-27,92,94,2
Estrada Municipal,573,427,-146,212,179,-33,109,79,-30
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,217,176,-41,60,52,-8,80,47,-33
,,,,,,,,,
Fora Localidade,356,251,-105,152,127,-25,29,32,3
Arruamentos,1325,1084,-241,517,390,-127,955,751,-204
,,,,,,,,,
Outras (1),86,60,-26,41,47,6,22,20,-2
,,,,,,,,,
Dentro Localidade,41,18,-23,17,11,-6,13,15,2
Fora Localidade,45,42,-3,24,36,12,9,5,-4
Total da rede,3777,3134,-643,1776,1565,-211,1365,1098,-267
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,2152,1747,-405,786,659,-127,1225,959,-266
,,,,,,,,,
Fora Localidade,1625,1387,-238,990,906,-84,140,139,-1
