,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,924,884,840,874,938,985,1055,1137,1002,1091,1013,1038,11781
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,121,141,106,141,111,122,150,133,100,136,130,108,1499
,,,,,,,,,,,,,,
REGIÃO,Acid.com mortos,28,29,32,23,16,33,40,30,28,47,44,40,390
,,,,,,,,,,,,,,
CENTRO,Mortos,29,32,48,23,19,36,45,32,32,50,46,44,436
,,,,,,,,,,,,,,
,F.Graves,112,153,126,140,119,115,146,146,105,126,102,88,1478
,,,,,,,,,,,,,,
,F.Leves,1108,1052,1000,995,1181,1170,1301,1474,1265,1342,1215,1258,14361
,,,,,,,,,,,,,,
,Acidentes com vítimas,302,306,266,249,304,309,330,323,319,332,355,331,3726
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,44,50,25,38,30,34,38,40,28,33,40,33,433
,,,,,,,,,,,,,,
Aveiro,Acid.com mortos,9,8,5,6,4,6,11,7,7,8,12,15,98
,,,,,,,,,,,,,,
,Mortos,10,8,6,6,4,6,11,9,7,8,13,17,105
,,,,,,,,,,,,,,
,F.Graves,41,55,29,42,34,36,32,47,28,27,33,25,429
,,,,,,,,,,,,,,
,F.Leves,347,363,314,288,363,362,437,416,397,388,405,400,4480
,,,,,,,,,,,,,,
,Acidentes com vítimas,41,36,45,50,41,51,64,64,56,45,56,56,605
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,6,12,6,9,7,9,18,6,10,14,12,4,113
,,,,,,,,,,,,,,
Castelo,Acid.com mortos,2,3,1,,3,3,2,1,3,3,4,0,25
,,,,,,,,,,,,,,
Branco,Mortos,2,3,1,0,3,3,2,1,4,3,4,0,26
,,,,,,,,,,,,,,
,F.Graves,5,12,11,10,5,8,20,7,11,23,11,4,127
,,,,,,,,,,,,,,
,F.Leves,49,32,54,54,60,60,79,78,75,69,71,69,750
,,,,,,,,,,,,,,
,Acidentes com vítimas,175,179,187,179,183,227,212,226,205,250,217,201,2441
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,18,19,26,17,8,17,24,18,19,24,18,15,223
,,,,,,,,,,,,,,
Coimbra,Acid.com mortos,5,8,15,7,3,6,7,5,7,9,9,7,88
,,,,,,,,,,,,,,
,Mortos,5,9,15,7,3,7,11,5,7,10,10,7,96
,,,,,,,,,,,,,,
,F.Graves,23,14,23,11,7,14,23,19,19,19,10,11,193
,,,,,,,,,,,,,,
,F.Leves,208,222,213,200,233,262,264,289,261,295,284,248,2979
,,,,,,,,,,,,,,
,Acidentes com vítimas,51,45,36,41,60,41,51,74,48,63,54,64,628
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,4,7,3,5,10,8,12,11,7,14,9,9,99
,,,,,,,,,,,,,,
Guarda,Acid.com mortos,1,3,1,2,1,4,4,3,2,9,5,3,38
,,,,,,,,,,,,,,
,Mortos,1,4,1,2,1,5,4,3,2,9,5,3,40
,,,,,,,,,,,,,,
,F.Graves,3,11,3,4,12,6,13,14,7,9,6,10,98
,,,,,,,,,,,,,,
,F.Leves,81,63,42,47,75,48,55,98,56,77,57,82,781
,,,,,,,,,,,,,,
,Acidentes com vítimas,268,241,218,281,271,282,287,319,276,288,263,280,3274
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,40,40,31,65,48,37,41,30,25,32,39,38,466
,,,,,,,,,,,,,,
Leiria,Acid.com mortos,9,6,3,8,5,6,11,6,5,13,8,11,91
,,,,,,,,,,,,,,
,Mortos,9,7,3,8,8,7,11,6,8,13,8,13,101
,,,,,,,,,,,,,,
,F.Graves,32,47,30,65,51,40,38,33,29,27,35,29,456
,,,,,,,,,,,,,,
,F.Leves,318,276,262,309,334,345,335,406,342,364,317,318,3926
,,,,,,,,,,,,,,
,Acidentes com vítimas,87,77,88,74,79,75,111,131,98,113,68,106,1107
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,9,13,15,7,8,17,17,28,11,19,12,9,165
,,,,,,,,,,,,,,
Viseu,Acid.com mortos,2,1,7,0,0,8,5,8,4,5,6,4,50
,,,,,,,,,,,,,,
,Mortos,2,1,22,0,0,8,6,8,4,7,6,4,68
,,,,,,,,,,,,,,
,F.Graves,8,14,30,8,10,11,20,26,11,21,7,9,175
,,,,,,,,,,,,,,
,F.Leves,105,96,115,97,116,93,131,187,134,149,81,141,1445
,,,,,,,,,,,,,,
