,,,,,,,,,
,1997,1998,98/97,1999,99/98,2000,00/99,2001,01/00
,,,,,,,,,
,,,,,,,,,
Vítimas mortais,422,356,-66,345,-11,337,-8,296,-41
,,,,,,,,,
Dentro Localidade,273,221,-52,222,1,219,-3,195,-24
,,,,,,,,,
Fora Localidade,149,135,-14,123,-12,118,-5,101,-17
,,,,,,,,,
Feridos Graves,1973,1711,-262,1537,-174,1365,-172,1098,-267
,,,,,,,,,
Dentro Localidade,1747,1498,-249,1355,-143,1225,-130,959,-266
,,,,,,,,,
Fora Localidade,226,213,-13,182,-31,140,-42,139,-1
,,,,,,,,,
Feridos Leves,7216,6985,-231,6845,-140,6474,-371,6589,115
,,,,,,,,,
Dentro Localidade,6542,6316,-226,6276,-40,5996,-280,6128,132
,,,,,,,,,
Fora Localidade,674,669,-5,569,-100,478,-91,461,-17
,,,,,,,,,
Total vítimas,9611,9052,-559,8727,-325,8176,-551,7983,-193
,,,,,,,,,
Dentro Localidade,8562,8035,-527,7853,-182,7440,-413,7282,-158
,,,,,,,,,
Fora Localidade,1049,1017,-32,874,-143,736,-138,701,-35
