REGIÃO DO ALGARVE,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,198,187,215,281,236,293,342,371,269,218,216,232,3058
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,27,30,36,30,30,44,42,40,27,22,30,31,389
,,,,,,,,,,,,,,
Faro,Acid.com mortos,3,8,10,6,6,6,11,9,6,7,10,10,92
,,,,,,,,,,,,,,
,Mortos,5,13,12,6,7,6,14,9,6,8,10,10,106
,,,,,,,,,,,,,,
,F.Graves,25,26,32,27,28,42,44,38,24,21,27,26,360
,,,,,,,,,,,,,,
,F.Leves,220,208,233,335,276,320,409,457,316,261,230,271,3536
,,,,,,,,,,,,,,
