,,,Veículos de instrução,,,,,,,
,,,Motoc.,Ligeiros,Pesados,,,"Veíc..
Agrícolas",Ciclom.,Total
,,,,,C,D,E,,,
,,Braga,175,454,39,11,19,10,5,713
,REGIÃO,Bragança,36,65,16,4,12,4,2,139
,NORTE,Porto,285,828,73,15,20,10,3,1234
,,V. Castelo,72,139,14,8,9,7,1,250
,,Vila Real,45,100,16,3,8,3,2,177
,,,613,1586,158,41,68,34,13,2513
,,Aveiro,116,314,36,5,21,6,9,507
,,C. Branco,39,92,15,5,11,2,4,168
,REGIÃO,Coimbra,92,259,31,7,21,5,3,418
,CENTRO,Guarda,50,106,29,2,12,4,4,207
,,Leiria,96,219,31,5,27,4,10,392
,,Viseu,89,244,40,11,24,6,4,418
,,,482,1234,182,35,116,27,34,2110
,,Lisboa,328,1018,83,15,35,22,12,1513
,REGIÃO LISBOA,Santarém,93,223,46,7,26,10,3,408
,V. TEJO,Setúbal,117,292,24,4,17,5,5,464
,,,538,1533,153,26,78,37,20,2385
,,Beja,45,77,19,4,14,7,3,169
,REGIÃO,Évora,41,86,14,4,8,7,4,164
,ALENTEJO,Portalegre,26,51,12,1,5,5,2,102
,,,112,214,45,9,27,19,9,435
R. ALGARVE,,Faro,105,179,19,7,10,6,18,344
,TOTAL,,1850,4746,557,118,299,123,94,7787
