,,,,,,,,,
,1997,1998,98/97,1999,99/98,2000,00/99,2001,01/00
,,,,,,,,,
Vítimas mortais,1939,1865,-74,1750,-115,1629,-121,1466,-163
,,,,,,,,,
,,,,,,,,,
Condutores,1104,1070,-34,1022,-48,916,-106,838,-78
,,,,,,,,,
Passageiros,413,439,26,383,-56,376,-7,332,-44
,,,,,,,,,
Peões,422,356,-66,345,-11,337,-8,296,-41
Feridos Graves,9335,8177,-1158,7697,-480,6918,-779,5797,-1121
,,,,,,,,,
Condutores,5172,4479,-693,4115,-364,3777,-338,3134,-643
Passageiros,2190,1987,-203,2045,58,1776,-269,1565,-211
Peões,1973,1711,-262,1537,-174,1365,-172,1098,-267
Feridos Leves,57181,58426,1245,57630,-796,53006,-4624,51247,-1759
,,,,,,,,,
,,,,,,,,,
Condutores,32586,32901,315,32253,-648,29316,-2937,28650,-666
,,,,,,,,,
Passageiros,17379,18540,1161,18532,-8,17216,-1316,16008,-1208
,,,,,,,,,
Peões,7216,6985,-231,6845,-140,6474,-371,6589,115
