,,,,,,,,,,,,
,Colisão,,,Despiste,,,Atropelamento,,,Total,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,,,,
,,,,,,,,,,,,
Velocípedes,1220,1239,19,123,133,10,51,57,6,1394,1429,35
,,,,,,,,,,,,
Ciclomotores,6353,5332,-1021,1608,1584,-24,383,286,-97,8344,7202,-1142
,,,,,,,,,,,,
Motociclos,3989,3756,-233,1123,1186,63,309,364,55,5421,5306,-115
,,,,,,,,,,,,
Veículos ligeiros (1),40204,38015,-2189,8399,8631,232,6040,6250,210,54643,52896,-1747
,,,,,,,,,,,,
Passageiros,31042,28770,-2272,6562,6720,158,4709,4729,20,42313,40219,-2094
,,,,,,,,,,,,
Mercadorias,7743,7540,-203,1508,1555,47,1075,1032,-43,10326,10127,-199
,,,,,,,,,,,,
Veículos pesados (2),2881,2798,-83,426,386,-40,396,329,-67,3703,3513,-190
,,,,,,,,,,,,
Passageiros,634,599,-35,44,49,5,225,183,-42,903,831,-72
,,,,,,,,,,,,
Mercadorias,2012,1975,-37,338,292,-46,158,121,-37,2508,2388,-120
,,,,,,,,,,,,
Outros veículos,409,431,22,97,99,2,30,33,3,536,563,27
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,55056,51571,-3485,11776,12019,243,7209,7319,110,74041,70909,-3132
,,,,,,,,,,,,
